County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
39,75499,220,2,2497.5,1134.0,1071.0,154.0,152.0,143.0,15.0,26.0,41.0,46.0,64.0
39,75499,220,1,2509.0333333333333,1134.0,1134.0,154.0,152.0,152.0,22.0,44.0,66.0,40.0,46.0
39,75499,207,2,2458.3199999999997,798.0,784.0,96.0,94.0,92.0,9.0,13.0,23.0,31.0,41.0
39,75499,206,2,2475.257142857143,3381.0,3353.0,497.0,483.0,479.0,37.0,95.0,132.0,140.0,211.0
39,75499,206,1,2481.6857142857143,3374.0,3374.0,499.0,482.0,482.0,52.0,118.0,170.0,129.0,183.0
39,75499,204,2,2446.5142857142855,20608.0,20510.0,2998.0,2944.0,2930.0,102.0,375.0,477.0,770.0,1697.0
39,75499,204,1,2458.2571428571428,20566.0,20538.0,3000.0,2938.0,2934.0,145.0,616.0,761.0,819.0,1357.0
39,75499,203,2,2518.6857142857148,910.0,903.0,132.0,130.0,129.0,21.0,33.0,54.0,37.0,38.0
39,75499,203,1,2525.0,896.0,896.0,132.0,128.0,128.0,22.0,51.0,73.0,30.0,25.0
39,75499,202,2,2501.514285714286,3150.0,3087.0,456.0,450.0,441.0,69.0,99.0,167.0,122.0,160.0
39,75499,202,1,2507.8857142857146,3066.0,3066.0,456.0,438.0,438.0,76.0,128.0,204.0,111.0,123.0
39,75499,200,2,2434.342857142857,2163.0,2142.0,316.0,309.0,306.0,5.0,33.0,38.0,79.0,192.0
39,75499,200,1,2447.3571428571427,2177.0,2177.0,317.0,311.0,311.0,16.0,55.0,71.0,69.0,171.0
39,75499,226,2,2521.7000000000003,7343.0,7189.0,1070.0,1049.0,1027.0,170.0,303.0,473.0,307.0,268.0
39,75499,227,1,2536.6428571428573,1183.0,1183.0,169.0,169.0,169.0,47.0,56.0,103.0,35.0,31.0
39,75499,224,2,2489.1428571428573,7441.0,7308.0,1080.0,1063.0,1044.0,90.0,218.0,309.0,345.0,409.0
39,75499,227,2,2525.4857142857145,1176.0,1113.0,170.0,168.0,159.0,36.0,36.0,72.0,53.0,43.0
4,75507,226,1,2544.414285714286,1484.0,1484.0,220.0,212.0,212.0,59.0,77.0,136.0,41.0,35.0
4,75507,224,2,2484.4,686.0,686.0,103.0,98.0,98.0,9.0,20.0,29.0,32.0,37.0
4,75507,224,1,2507.942857142857,686.0,686.0,103.0,98.0,98.0,14.0,36.0,50.0,23.0,25.0
4,75507,226,2,2528.6,1477.0,1477.0,220.0,211.0,211.0,39.0,59.0,98.0,67.0,46.0
4,75507,204,1,2500.0,3416.0,3416.0,496.0,488.0,488.0,55.0,133.0,188.0,163.0,137.0
4,75507,204,2,2482.7428571428572,3423.0,3423.0,496.0,489.0,489.0,33.0,94.0,127.0,162.0,200.0
4,75507,206,2,2488.6142857142854,973.0,973.0,143.0,139.0,139.0,12.0,26.0,38.0,52.0,49.0
4,75507,206,1,2502.971428571429,973.0,973.0,143.0,139.0,139.0,18.0,43.0,61.0,34.0,44.0
12,75515,202,2,2474.528571428571,1407.0,1407.0,202.0,201.0,201.0,8.0,34.0,42.0,70.0,89.0
12,75515,204,1,2459.4714285714285,2415.0,2415.0,356.0,345.0,345.0,16.0,61.0,77.0,99.0,169.0
12,75515,204,2,2447.1428571428573,2401.0,2401.0,356.0,343.0,343.0,13.0,36.0,49.0,108.0,186.0
12,75515,206,1,2471.457142857143,3549.0,3535.0,527.0,507.0,505.0,43.0,115.0,158.0,130.0,218.0
12,75515,206,2,2458.3142857142857,3535.0,3535.0,527.0,505.0,505.0,30.0,75.0,105.0,142.0,258.0
12,75515,207,1,2436.65,854.0,854.0,121.0,115.0,115.0,5.0,15.0,20.0,33.0,62.0
12,75515,202,1,2483.628571428572,1407.0,1407.0,202.0,201.0,201.0,13.0,63.0,76.0,47.0,78.0
12,75515,207,2,2430.316666666666,847.0,847.0,121.0,114.0,114.0,4.0,8.0,12.0,35.0,67.0
12,75515,201,2,2388.233333333333,511.0,511.0,40.0,35.0,35.0,0.0,3.0,3.0,10.0,22.0
12,75515,224,2,2543.5,441.0,441.0,29.0,28.0,28.0,2.0,6.0,8.0,9.0,11.0
12,75515,226,1,2527.485714285714,2940.0,2933.0,430.0,420.0,419.0,95.0,151.0,247.0,82.0,91.0
