,Unnamed: 0,District Code,Agency Name,American Indian/Alaska Native,Black,Hispanic,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Asian or Asian/Pacific Islander,Total Enrollment,Total Revenue,Revenue per student,County Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Student tested %
49,50.0,68486.0,BANTA ELEMENTARY,0.0,23.0,357.0,169.0,4.0,40.0,177.0,770.0,7016000.0,9111.69,234.0,468.0,9.0,14902.358333333334,4584.0,4584.0,736.0,736.0,736.0,96.0,177.0,273.0,214.0,249.0,95.58441558441558
50,51.0,67611.0,BARSTOW UNIFIED,68.0,1106.0,3212.0,1287.0,71.0,321.0,89.0,6154.0,78476000.0,12752.03,288.0,752.0,12.0,19663.5,43155.0,43141.0,6295.0,6165.0,6163.0,435.0,1080.0,1515.0,1589.0,3061.0,100.17874553136173
51,52.0,65185.0,BASS LAKE JOINT UNION ELEMENTARY,17.0,5.0,162.0,657.0,1.0,30.0,19.0,891.0,5251000.0,5893.38,80.0,316.0,6.0,9918.083333333334,5916.0,5916.0,1044.0,986.0,986.0,119.0,287.0,406.0,323.0,257.0,110.662177328844
52,53.0,64295.0,BASSETT UNIFIED,6.0,28.0,3444.0,42.0,3.0,0.0,166.0,3689.0,53525000.0,14509.35,114.0,468.0,9.0,14864.657142857144,26810.0,26789.0,3753.0,3700.0,3697.0,423.0,847.0,1270.0,1085.0,1342.0,100.29818378964488
53,54.0,68858.0,BAYSHORE ELEMENTARY,0.0,15.0,158.0,10.0,19.0,14.0,152.0,368.0,28589000.0,77687.5,246.0,462.0,9.0,15199.983333333335,2400.0,2394.0,310.0,301.0,300.0,34.0,50.0,84.0,61.0,156.0,81.79347826086956
54,55.0,67637.0,BEAR VALLEY UNIFIED,10.0,20.0,876.0,1510.0,3.0,78.0,26.0,2523.0,21245000.0,8420.53,144.0,316.0,6.0,9921.014285714286,17640.0,17640.0,2568.0,2520.0,2520.0,297.0,578.0,875.0,658.0,987.0,99.88109393579072
55,56.0,63339.0,BEARDSLEY ELEMENTARY,7.0,58.0,690.0,923.0,0.0,126.0,6.0,1810.0,18130000.0,10016.57,90.0,604.0,9.0,14629.083333333332,12888.0,12882.0,2116.0,2100.0,2099.0,140.0,407.0,547.0,596.0,956.0,116.02209944751381
56,57.0,66993.0,BEAUMONT UNIFIED,91.0,627.0,5174.0,3226.0,30.0,285.0,542.0,9975.0,98646000.0,9889.32,462.0,1208.0,21.0,35124.642857142855,73857.0,73843.0,10558.0,10489.0,10487.0,1659.0,2619.0,4278.0,2817.0,3393.0,105.15288220551378
57,58.0,69872.0,BELLA VISTA ELEMENTARY,17.0,7.0,39.0,275.0,1.0,11.0,11.0,361.0,3281000.0,9088.64,90.0,160.0,3.0,5005.9333333333325,2328.0,2328.0,394.0,388.0,388.0,79.0,100.0,179.0,100.0,109.0,107.4792243767313
58,59.0,72306.0,BELLEVIEW ELEMENTARY,2.0,5.0,32.0,100.0,3.0,4.0,1.0,147.0,1487000.0,10115.65,110.0,160.0,3.0,4939.875000000001,828.0,828.0,110.0,104.0,104.0,10.0,19.0,29.0,43.0,32.0,70.74829931972789
59,60.0,70615.0,BELLEVUE UNION,17.0,29.0,1585.0,179.0,1.0,23.0,61.0,1895.0,18680000.0,9857.52,196.0,316.0,6.0,9820.325000000003,7144.0,7144.0,1812.0,1786.0,1786.0,203.0,358.0,561.0,521.0,704.0,94.24802110817943
60,61.0,64303.0,BELLFLOWER UNIFIED,59.0,1604.0,7928.0,1274.0,96.0,301.0,1035.0,12297.0,135823000.0,11045.21,266.0,1216.0,21.0,35231.22142857143,89670.0,89663.0,12925.0,12744.0,12743.0,1726.0,3193.0,4919.0,3471.0,4353.0,103.63503293486215
61,62.0,68866.0,BELMONT-REDWOOD SHORES ELEMENTARY,6.0,71.0,500.0,1797.0,34.0,536.0,1286.0,4230.0,26884000.0,6355.56,492.0,1058.0,18.0,30615.666666666664,31050.0,31044.0,5136.0,5069.0,5068.0,2519.0,1403.0,3922.0,749.0,398.0,119.83451536643027
62,63.0,63347.0,BELRIDGE ELEMENTARY,0.0,0.0,32.0,0.0,0.0,0.0,0.0,32.0,390000.0,12187.5,,,,,,,,,,,,,,,
63,64.0,70524.0,BENICIA UNIFIED,21.0,383.0,907.0,2239.0,15.0,689.0,599.0,4853.0,35896000.0,7396.66,576.0,1058.0,18.0,30417.61428571429,33173.0,33173.0,5025.0,4729.0,4729.0,1123.0,1502.0,2625.0,1199.0,905.0,97.44487945600659
64,65.0,70623.0,BENNETT VALLEY UNION ELEMENTARY,4.0,23.0,220.0,666.0,9.0,65.0,48.0,1035.0,6105000.0,5898.55,294.0,604.0,9.0,15155.4,4064.0,4064.0,986.0,970.0,970.0,267.0,318.0,585.0,279.0,106.0,93.71980676328504
65,66.0,61143.0,BERKELEY UNIFIED,16.0,1667.0,2473.0,3868.0,22.0,1378.0,814.0,10238.0,122851000.0,11999.51,10.0,904.0,15.0,25312.171428571426,64869.0,64708.0,10124.0,9267.0,9244.0,3082.0,2410.0,5492.0,1750.0,2021.0,90.51572572768119
66,67.0,69377.0,BERRYESSA UNION ELEMENTARY,3.0,129.0,1719.0,381.0,46.0,378.0,4640.0,7296.0,57336000.0,7858.55,516.0,1058.0,18.0,30145.733333333334,57822.0,57816.0,9751.0,9637.0,9636.0,2836.0,2711.0,5547.0,2175.0,1914.0,132.0860745614035
