District Code,Students Tested
62554,544.0
62596,438.0
62638,516.0
62646,396.0
62653,92.0
62661,2904.0
62679,1358.0
62687,1470.0
62695,0.0
62703,428.0
62729,24.0
62737,292.0
62745,1340.0
62794,360.0
62810,930.0
62828,842.0
62836,126.0
62851,0.0
62885,504.0
62893,1204.0
62901,2008.0
62919,37.0
62927,193.0
62935,0.0
62950,2912.0
62968,0.0
62976,1372.0
62984,36.0
63008,856.0
63024,566.0
63032,1168.0
63040,1606.0
63057,516.0
63073,9934.0
63081,1752.0
63099,19018.0
63107,2402.0
63115,3646.0
63123,12630.0
63131,3086.0
63149,3272.0
63164,8636.0
63172,352.0
63180,3594.0
63198,1282.0
63206,200.0
63214,1534.0
63222,806.0
63230,982.0
63248,314.0
63271,24.0
63289,634.0
63297,136.0
63305,300.0
63313,7784.0
63321,76144.0
63339,4568.0
63347,46.0
63354,0.0
63362,46238.0
63370,962.0
63388,70.0
63404,19254.0
63412,3968.0
63420,594.0
63438,2756.0
63446,494.0
63461,6950.0
63479,8468.0
63487,368.0
63503,24024.0
63529,35722.0
63545,2284.0
63552,3672.0
63560,7646.0
63578,8746.0
63586,28.0
63594,1416.0
63610,728.0
63628,646.0
63651,110.0
63669,209.0
63677,5648.0
63685,3834.0
63693,11072.0
63719,512.0
63750,15180.0
63768,632.0
63776,7030.0
63784,572.0
63792,7754.0
63800,5600.0
63818,948.0
63826,9054.0
63834,1774.0
63842,9268.0
63859,1596.0
63875,2912.0
63883,4166.0
63891,7018.0
63917,15650.0
63925,3382.0
63933,1102.0
63941,2026.0
63958,1074.0
63966,904.0
63974,8338.0
63982,1826.0
63990,4212.0
64014,3448.0
64022,6648.0
64030,3196.0
64048,632.0
64055,2992.0
64089,209.0
64105,908.0
64113,568.0
64139,686.0
64162,0.0
64170,604.0
64188,468.0
64196,2648.0
64204,255.0
64212,44164.0
64246,21676.0
64261,20540.0
64279,17806.0
64287,28758.0
64295,7816.0
64303,25724.0
64311,8584.0
64329,20956.0
64337,31356.0
64345,6174.0
64352,6286.0
64378,10248.0
64394,14802.0
64436,24410.0
64444,14300.0
64451,46426.0
64469,7060.0
64477,9032.0
64485,23492.0
64501,22526.0
64519,8766.0
64527,18460.0
64535,7140.0
64550,12612.0
64568,54028.0
64576,16304.0
64584,202.0
64592,21136.0
64600,3762.0
64626,448.0
64634,20612.0
64642,7310.0
64659,9028.0
64667,36478.0
64683,23390.0
64691,14702.0
64709,12748.0
64717,11686.0
64725,155148.0
64733,1047838.0
64758,4372.0
64766,8280.0
64774,29380.0
64790,11790.0
64808,56154.0
64816,17956.0
64832,15810.0
64840,38752.0
64857,48970.0
64865,22616.0
64873,32722.0
64881,34880.0
64907,50552.0
64931,6958.0
64964,6550.0
64980,22778.0
64998,22616.0
65029,10354.0
65037,7756.0
65045,12156.0
65052,12572.0
65060,48742.0
65078,2982.0
65094,18206.0
65102,24946.0
65110,15806.0
65128,12072.0
65136,40876.0
65151,3408.0
65177,934.0
65185,2118.0
65193,5888.0
65201,946.0
65243,42628.0
65276,220.0
65300,156.0
65318,5240.0
65334,3294.0
65342,0.0
65359,286.0
65367,4008.0
65375,0.0
65391,8474.0
65409,62.0
65417,15990.0
65425,4260.0
65433,1064.0
65458,11888.0
65466,2274.0
65474,294.0
65482,4138.0
65516,0.0
65532,3368.0
65540,1008.0
65557,714.0
65565,3642.0
65573,54.0
65581,1082.0
65599,122.0
65607,592.0
65615,11676.0
65623,2902.0
65631,12878.0
65649,1014.0
65680,426.0
65698,4956.0
65722,1062.0
65730,468.0
65748,6430.0
65755,22622.0
65763,2176.0
65771,28144.0
65789,9504.0
65813,322.0
65821,1960.0
65839,142.0
65862,7236.0
65870,4954.0
65896,178.0
65961,20238.0
65979,124.0
65987,5372.0
65995,890.0
66027,58.0
66035,9098.0
66050,6796.0
66068,1976.0
66076,194.0
66084,360.0
