County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
1,61127,1,2,2588.3571428571427,13629.0,13622.0,2039.0,1947.0,1946.0,903.0,535.0,1439.0,306.0,202.0
1,61127,1,1,2583.5,13496.0,13489.0,2039.0,1928.0,1927.0,848.0,682.0,1530.0,248.0,150.0
1,61143,1,1,2540.8142857142852,33019.0,32879.0,5166.0,4717.0,4697.0,1555.0,1327.0,2882.0,849.0,987.0
1,61143,1,2,2544.371428571428,32879.0,32851.0,5166.0,4697.0,4693.0,1568.0,1121.0,2689.0,936.0,1072.0
1,61150,1,1,2555.4857142857145,34342.0,34286.0,5018.0,4906.0,4898.0,1624.0,1655.0,3279.0,969.0,657.0
1,61150,1,2,2559.171428571429,34307.0,34286.0,5018.0,4901.0,4898.0,1737.0,1246.0,2986.0,1069.0,846.0
1,61168,1,2,2452.7571428571428,2457.0,2457.0,368.0,351.0,351.0,26.0,49.0,75.0,95.0,181.0
1,61168,1,1,2459.957142857143,2408.0,2408.0,368.0,344.0,344.0,24.0,63.0,87.0,98.0,159.0
1,61176,1,1,2580.871428571428,128912.0,128856.0,18752.0,18416.0,18408.0,8592.0,5244.0,13836.0,2467.0,2113.0
1,61176,1,2,2594.8857142857146,129647.0,129577.0,18751.0,18521.0,18511.0,9622.0,3618.0,13242.0,2819.0,2461.0
1,61192,1,2,2466.6142857142854,77455.0,77385.0,11297.0,11065.0,11055.0,986.0,1624.0,2613.0,3068.0,5385.0
1,61192,1,1,2482.2142857142853,76475.0,76412.0,11298.0,10925.0,10916.0,1197.0,2695.0,3892.0,2785.0,4245.0
1,61200,1,1,2539.1428571428573,48594.0,48573.0,7101.0,6942.0,6939.0,1944.0,2301.0,4248.0,1386.0,1308.0
1,61200,1,2,2530.9857142857145,48559.0,48517.0,7103.0,6937.0,6931.0,1595.0,1846.0,3442.0,1851.0,1643.0
1,61234,1,1,2505.1428571428573,21049.0,21049.0,3097.0,3007.0,3007.0,490.0,878.0,1368.0,773.0,866.0
1,61234,1,2,2501.8857142857137,21259.0,21245.0,3097.0,3037.0,3035.0,477.0,637.0,1114.0,858.0,1064.0
1,61242,1,1,2512.1428571428573,42441.0,42441.0,6222.0,6063.0,6063.0,1158.0,1849.0,3007.0,1371.0,1685.0
1,61242,1,2,2508.5714285714284,42658.0,42651.0,6221.0,6094.0,6093.0,1093.0,1305.0,2398.0,1678.0,2017.0
1,61259,1,2,2456.9285714285716,126091.0,125580.0,18889.0,18013.0,17940.0,2024.0,2565.0,4587.0,4179.0,9244.0
1,61259,1,1,2467.914285714286,123879.0,123529.0,18890.0,17697.0,17647.0,2109.0,3530.0,5640.0,3889.0,8168.0
1,61275,1,1,2602.5714285714284,10416.0,10409.0,1524.0,1488.0,1487.0,799.0,481.0,1280.0,150.0,58.0
1,61275,1,2,2616.5285714285715,10402.0,10388.0,1524.0,1486.0,1484.0,912.0,331.0,1242.0,172.0,71.0
1,61291,1,1,2487.7285714285717,31409.0,31388.0,4618.0,4487.0,4484.0,599.0,1142.0,1741.0,1118.0,1625.0
1,61291,1,2,2472.842857142857,31444.0,31409.0,4617.0,4492.0,4487.0,421.0,728.0,1149.0,1308.0,2032.0
1,61309,1,1,2473.9428571428575,37814.0,37723.0,5552.0,5402.0,5389.0,495.0,1179.0,1674.0,1512.0,2214.0
1,61309,1,2,2468.9714285714285,37947.0,37912.0,5551.0,5421.0,5416.0,419.0,828.0,1247.0,1604.0,2567.0
2,61333,1,2,2424.4,354.0,354.0,23.0,23.0,23.0,3.0,2.0,5.0,9.0,9.0
2,61333,1,1,2390.2,354.0,354.0,23.0,23.0,23.0,3.0,1.0,4.0,6.0,13.0
4,61382,1,2,2434.6,336.0,336.0,15.0,14.0,14.0,0.0,1.0,1.0,4.0,9.0
4,61382,1,1,2441.0,336.0,336.0,15.0,14.0,14.0,0.0,2.0,2.0,4.0,8.0
4,61408,1,2,2450.9,2037.0,2037.0,317.0,291.0,291.0,6.0,38.0,44.0,90.0,157.0
4,61408,1,1,2461.542857142857,2009.0,2002.0,318.0,287.0,286.0,25.0,61.0,86.0,73.0,127.0
4,61424,1,2,2512.2428571428572,42791.0,42763.0,6300.0,6113.0,6109.0,1121.0,1488.0,2608.0,1613.0,1891.0
4,61424,1,1,2516.328571428571,42882.0,42861.0,6301.0,6126.0,6123.0,1153.0,1976.0,3129.0,1477.0,1518.0
4,61432,1,2,2522.871428571429,3542.0,3542.0,518.0,506.0,506.0,90.0,134.0,224.0,156.0,126.0
4,61432,1,1,2524.5,3556.0,3556.0,518.0,508.0,508.0,90.0,187.0,277.0,124.0,107.0
