County Code,District Code,Subgroup ID,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Students with Scores
19,73445,80,2535.6,5232.0,5232.0,1356.0,1308.0,342.0,390.0,732.0,304.0,272.0,1308.0
19,73445,144,2578.6125,1056.0,1056.0,232.0,228.0,80.0,82.0,162.0,38.0,28.0,228.0
19,73445,74,2488.85,1296.0,1296.0,276.0,276.0,32.0,57.0,89.0,79.0,108.0,276.0
19,73452,77,2555.092857142857,8552.0,8552.0,2168.0,2138.0,632.0,770.0,1402.0,442.0,294.0,2138.0
19,73452,78,2480.4,74560.0,74528.0,18964.0,18640.0,1644.0,4345.0,5991.0,5308.0,7341.0,18632.0
19,73452,74,2487.4142857142856,2000.0,2000.0,504.0,500.0,66.0,102.0,168.0,148.0,184.0,500.0
19,73452,76,2583.85,24832.0,24816.0,6348.0,6208.0,2776.0,1892.0,4672.0,948.0,588.0,6204.0
19,73452,80,2531.1428571428573,3232.0,3232.0,816.0,808.0,172.0,268.0,440.0,224.0,144.0,808.0
19,73452,144,2573.75,1472.0,1472.0,332.0,330.0,132.0,111.0,243.0,47.0,40.0,330.0
19,73460,76,2614.6928571428575,70288.0,70280.0,17922.0,17572.0,10470.0,4568.0,15038.0,1718.0,816.0,17570.0
19,73460,77,2587.2285714285713,5776.0,5768.0,1468.0,1444.0,612.0,542.0,1156.0,206.0,82.0,1442.0
19,73460,74,2512.3285714285716,2336.0,2336.0,600.0,584.0,114.0,158.0,272.0,142.0,170.0,584.0
19,73460,144,2593.2999999999997,4312.0,4312.0,1088.0,1078.0,534.0,318.0,852.0,138.0,88.0,1078.0
19,73460,80,2558.7714285714287,9192.0,9192.0,2392.0,2298.0,694.0,842.0,1536.0,472.0,290.0,2298.0
19,73460,79,2532.475,864.0,864.0,164.0,164.0,62.0,57.0,119.0,30.0,15.0,164.0
19,73460,78,2526.4857142857136,29176.0,29168.0,7402.0,7294.0,1482.0,2260.0,3742.0,1930.0,1620.0,7292.0
15,73544,80,2501.8333333333335,5208.0,5208.0,1500.0,1488.0,270.0,386.0,656.0,448.0,384.0,1488.0
15,73544,78,2464.9666666666667,4018.0,4018.0,1152.0,1148.0,74.0,254.0,328.0,360.0,460.0,1148.0
37,73551,80,2586.7571428571428,52592.0,52576.0,13618.0,13148.0,5968.0,4064.0,10032.0,2204.0,912.0,13144.0
37,73551,77,2649.075,904.0,904.0,170.0,163.0,93.0,34.0,127.0,18.0,18.0,163.0
37,73551,144,2597.928571428572,6712.0,6712.0,1712.0,1678.0,876.0,460.0,1336.0,216.0,126.0,1678.0
37,73551,74,2522.5,1200.0,1200.0,236.0,234.0,40.0,64.0,104.0,53.0,77.0,234.0
37,73551,76,2631.5071428571428,6040.0,6040.0,1556.0,1510.0,1030.0,320.0,1350.0,118.0,42.0,1510.0
37,73551,78,2526.821428571429,26344.0,26344.0,6788.0,6586.0,1428.0,1906.0,3334.0,1748.0,1504.0,6586.0
37,73569,74,2490.335714285714,6936.0,6912.0,1856.0,1734.0,158.0,465.0,625.0,495.0,613.0,1728.0
37,73569,77,2532.421428571429,4400.0,4400.0,1124.0,1100.0,244.0,360.0,604.0,270.0,226.0,1100.0
37,73569,78,2475.4857142857145,87840.0,87768.0,22690.0,21960.0,1600.0,4751.0,6351.0,6437.0,9169.0,21942.0
37,73569,79,2498.3357142857144,3256.0,3256.0,840.0,814.0,104.0,208.0,312.0,220.0,282.0,814.0
37,73569,80,2537.178571428572,34960.0,34928.0,9072.0,8740.0,2033.0,2818.0,4853.0,2295.0,1590.0,8732.0
37,73569,144,2525.9357142857143,6792.0,6792.0,1816.0,1698.0,368.0,508.0,876.0,434.0,388.0,1698.0
37,73569,76,2570.157142857143,3104.0,3104.0,816.0,776.0,292.0,260.0,552.0,132.0,92.0,776.0
25,73585,78,2477.3428571428567,1248.0,1248.0,264.0,254.0,10.0,41.0,51.0,102.0,101.0,254.0
25,73585,80,2492.485714285714,4896.0,4896.0,1268.0,1224.0,98.0,300.0,398.0,382.0,444.0,1224.0
25,73593,78,2476.421428571429,2656.0,2656.0,704.0,664.0,36.0,142.0,178.0,200.0,286.0,664.0
25,73593,80,2497.625,704.0,704.0,134.0,132.0,24.0,28.0,52.0,56.0,24.0,132.0
50,73601,78,2473.578571428571,20032.0,20024.0,5106.0,5008.0,380.0,1054.0,1434.0,1416.0,2156.0,5006.0
50,73601,80,2520.1357142857137,4648.0,4648.0,1200.0,1162.0,186.0,358.0,544.0,320.0,298.0,1162.0
50,73601,144,2510.75,656.0,656.0,104.0,104.0,19.0,22.0,41.0,35.0,28.0,104.0
24,73619,80,2496.025,2240.0,2240.0,552.0,544.0,52.0,140.0,192.0,138.0,214.0,544.0
24,73619,78,2454.321428571429,12568.0,12552.0,3194.0,3142.0,154.0,530.0,686.0,813.0,1643.0,3138.0
30,73635,76,2606.907142857143,18136.0,18136.0,4586.0,4534.0,2496.0,1236.0,3732.0,548.0,254.0,4534.0
