,County Code,District Code,Subgroup ID,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
126,1,61309,75,288.0,288.0,36.0,36.0,36.0,2.0,20.0,22.0,18.0,32.0
127,1,61309,76,11648.0,11648.0,2946.0,2912.0,2912.0,11400.0,14304.0,25703.0,12379.0,8509.0
128,1,61309,77,6056.0,6056.0,1542.0,1514.0,1514.0,3949.0,6927.0,10876.0,6956.0,6392.0
129,1,61309,78,49392.0,49312.0,12598.0,12348.0,12328.0,8132.0,30546.0,38680.0,60248.0,98641.0
130,1,61309,79,1464.0,1456.0,360.0,346.0,344.0,110.0,984.0,1093.0,1354.0,2397.0
131,1,61309,80,6936.0,6920.0,1808.0,1734.0,1730.0,3431.0,6068.0,9499.0,7801.0,10445.0
132,1,61309,144,1768.0,1760.0,438.0,426.0,424.0,799.0,1051.0,1850.0,1779.0,2335.0
133,1,75093,74,3184.0,3176.0,820.0,796.0,794.0,1620.0,3613.0,5233.0,2882.0,4620.0
134,1,75093,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,1,75093,76,42720.0,42720.0,10776.0,10680.0,10680.0,107566.0,42226.0,149792.0,15010.0,6077.0
136,1,75093,77,4256.0,4256.0,1072.0,1064.0,1064.0,6669.0,6429.0,13098.0,3279.0,647.0
137,1,75093,78,10552.0,10552.0,2708.0,2638.0,2638.0,7404.0,12969.0,20372.0,11010.0,10826.0
138,1,75093,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,1,75093,80,21536.0,21536.0,5500.0,5384.0,5384.0,29400.0,28351.0,57751.0,17759.0,10634.0
140,1,75093,144,8128.0,8128.0,2088.0,2032.0,2032.0,13451.0,9590.0,23040.0,5868.0,3604.0
141,1,75101,74,1512.0,1512.0,358.0,346.0,346.0,1064.0,1231.0,2295.0,975.0,882.0
142,1,75101,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,1,75101,76,50328.0,50328.0,12760.0,12582.0,12582.0,139929.0,41412.0,181346.0,13907.0,6059.0
144,1,75101,77,2176.0,2176.0,564.0,544.0,544.0,3413.0,3177.0,6589.0,1658.0,456.0
145,1,75101,78,12328.0,12328.0,3132.0,3082.0,3082.0,11574.0,14517.0,26091.0,13268.0,9953.0
