County Code,District Code,Subgroup ID,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met,Students with Scores
45,69914,80,5453.0,5446.0,1592.0,1558.0,158.0,316.0,474.0,424.0,659.0,1556.0
45,69914,144,224.0,224.0,32.0,32.0,0.0,5.0,5.0,9.0,18.0,32.0
45,69922,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69922,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69922,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69922,80,210.0,210.0,30.0,30.0,2.0,8.0,10.0,11.0,9.0,30.0
45,69922,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69948,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69948,75,224.0,224.0,32.0,32.0,4.0,6.0,10.0,11.0,11.0,32.0
45,69948,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69948,78,868.0,868.0,218.0,216.0,25.0,69.0,94.0,75.0,47.0,216.0
45,69948,80,5250.0,5250.0,1520.0,1500.0,298.0,472.0,770.0,396.0,334.0,1500.0
45,69948,144,504.0,504.0,74.0,72.0,8.0,23.0,31.0,24.0,17.0,72.0
45,69955,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69955,75,448.0,448.0,68.0,64.0,5.0,24.0,29.0,16.0,19.0,64.0
45,69955,76,210.0,210.0,30.0,30.0,2.0,10.0,12.0,11.0,7.0,30.0
45,69955,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69955,78,1386.0,1386.0,400.0,396.0,30.0,102.0,132.0,130.0,134.0,396.0
45,69955,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69955,80,7574.0,7574.0,2204.0,2164.0,336.0,676.0,1012.0,602.0,550.0,2164.0
45,69955,144,441.0,441.0,90.0,90.0,15.0,20.0,35.0,38.0,17.0,90.0
45,69971,74,742.0,735.0,154.0,154.0,6.0,30.0,36.0,35.0,83.0,152.0
45,69971,75,994.0,994.0,262.0,256.0,13.0,51.0,64.0,105.0,87.0,256.0
45,69971,76,2380.0,2359.0,684.0,680.0,113.0,169.0,282.0,192.0,205.0,674.0
45,69971,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69971,78,5565.0,5516.0,1620.0,1590.0,124.0,341.0,466.0,486.0,637.0,1576.0
45,69971,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69971,80,19628.0,19565.0,5674.0,5608.0,929.0,1565.0,2494.0,1530.0,1584.0,5590.0
45,69971,144,2968.0,2947.0,864.0,848.0,112.0,225.0,338.0,229.0,280.0,842.0
45,69989,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69989,75,816.0,816.0,134.0,128.0,4.0,23.0,27.0,35.0,66.0,128.0
45,69989,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69989,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69989,78,2504.0,2504.0,636.0,626.0,56.0,130.0,186.0,182.0,258.0,626.0
45,69989,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69989,80,5760.0,5760.0,1484.0,1440.0,248.0,390.0,638.0,412.0,390.0,1440.0
45,69989,144,488.0,488.0,68.0,61.0,1.0,16.0,17.0,22.0,22.0,61.0
45,69997,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69997,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,69997,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70003,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70003,75,144.0,144.0,24.0,24.0,3.0,6.0,9.0,7.0,8.0,24.0
45,70003,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70003,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70003,78,637.0,637.0,116.0,115.0,29.0,35.0,64.0,27.0,24.0,115.0
45,70003,80,4326.0,4319.0,1256.0,1236.0,408.0,497.0,906.0,246.0,84.0,1234.0
45,70003,144,322.0,322.0,74.0,68.0,26.0,23.0,49.0,11.0,8.0,68.0
45,70011,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70011,75,280.0,280.0,40.0,40.0,1.0,13.0,14.0,8.0,18.0,40.0
45,70011,76,216.0,216.0,38.0,36.0,4.0,6.0,10.0,12.0,14.0,36.0
45,70011,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70011,78,861.0,861.0,193.0,190.0,24.0,37.0,61.0,61.0,68.0,190.0
45,70011,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70011,80,2863.0,2856.0,832.0,818.0,104.0,210.0,314.0,216.0,286.0,816.0
45,70011,144,120.0,120.0,28.0,24.0,1.0,3.0,4.0,7.0,13.0,24.0
45,70029,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70029,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70029,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70029,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70029,80,168.0,168.0,26.0,24.0,3.0,8.0,11.0,6.0,7.0,24.0
45,70037,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70037,144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70045,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,70045,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
