County Code,District Code,Subgroup ID,Test Id,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Total Standard Exceeded,Mean Scale Score,Total Standard Met,Total Standard Nearly Met,Total Standard Not Met,Students with Scores,Total Standard Met and Above
10,62240,1,1,10269.0,10262.0,2982.0,2934.0,498.0,15016.699999999999,910.0,812.0,712.0,2932.0,1408.0
10,62240,1,2,10255.0,10248.0,2982.0,2930.0,462.0,14958.000000000002,654.0,926.0,886.0,2928.0,1116.0
10,62257,1,1,634.0,632.0,646.0,634.0,204.0,2628.3,240.0,134.0,54.0,632.0,446.0
10,62257,1,2,636.0,636.0,646.0,636.0,74.0,2585.2,168.0,166.0,228.0,636.0,242.0
10,62265,1,1,41896.0,41896.0,10606.0,10474.0,1696.0,17573.0,3270.0,2682.0,2826.0,10474.0,4966.0
10,62265,1,2,42088.0,42080.0,10602.0,10522.0,1248.0,17449.5,2180.0,3142.0,3951.0,10520.0,3429.0
10,62281,1,1,2792.0,2792.0,714.0,698.0,40.0,17272.3,164.0,172.0,322.0,698.0,204.0
10,62281,1,2,2704.0,2704.0,714.0,676.0,30.0,17193.899999999998,104.0,200.0,342.0,676.0,134.0
10,62323,1,1,770.0,770.0,220.0,220.0,12.0,14782.900000000001,50.0,74.0,84.0,220.0,62.0
10,62323,1,2,770.0,770.0,220.0,220.0,16.0,14900.500000000002,44.0,90.0,70.0,220.0,60.0
10,62331,1,1,1330.0,1330.0,388.0,380.0,18.0,14783.3,96.0,98.0,168.0,380.0,114.0
10,62331,1,2,1316.0,1316.0,388.0,376.0,8.0,14722.599999999999,72.0,120.0,176.0,376.0,80.0
10,62356,1,1,1757.0,1757.0,502.0,502.0,48.0,14800.300000000001,92.0,146.0,216.0,502.0,140.0
10,62356,1,2,1757.0,1757.0,502.0,502.0,30.0,14728.500000000002,80.0,148.0,244.0,502.0,110.0
10,62364,1,1,14456.0,14440.0,3698.0,3614.0,194.0,17142.2,638.0,915.0,1867.0,3610.0,833.0
10,62364,1,2,14480.0,14480.0,3698.0,3620.0,114.0,17034.899999999998,416.0,830.0,2260.0,3620.0,530.0
10,62372,1,1,413.0,413.0,84.0,83.0,6.0,4924.8,32.0,27.0,18.0,83.0,38.0
10,62372,1,2,413.0,413.0,84.0,83.0,9.0,4896.7,16.0,31.0,27.0,83.0,25.0
10,62380,1,1,1169.0,1169.0,334.0,334.0,4.0,14524.7,48.0,78.0,204.0,334.0,52.0
10,62380,1,2,1169.0,1169.0,334.0,334.0,8.0,14612.900000000001,42.0,88.0,196.0,334.0,50.0
10,62414,1,1,50424.0,50408.0,12784.0,12606.0,2228.0,17587.8,3868.0,3262.0,3244.0,12602.0,6098.0
10,62414,1,2,50504.0,50488.0,12784.0,12626.0,1974.0,17562.2,3028.0,3761.0,3861.0,12622.0,5003.0
10,62430,1,1,27296.0,27256.0,6944.0,6824.0,813.0,17460.0,2019.0,1799.0,2191.0,6814.0,2831.0
10,62430,1,2,27216.0,27040.0,6944.0,6804.0,410.0,17280.8,1077.0,2184.0,3131.0,6760.0,1488.0
10,62513,1,1,1960.0,1960.0,568.0,560.0,44.0,14741.3,110.0,134.0,272.0,560.0,154.0
10,62513,1,2,1960.0,1960.0,566.0,560.0,64.0,14834.3,98.0,162.0,236.0,560.0,162.0
10,62539,1,1,3088.0,3088.0,814.0,772.0,32.0,17183.100000000002,162.0,226.0,352.0,772.0,194.0
