,District Code,District Name,Zip Code
10669,71670,COFFEE CREEK ELEMENTARY,     
9106,69161,COLD SPRING ELEMENTARY,     
5833,66795,COLFAX ELEMENTARY,     
9108,69179,COLLEGE ELEMENTARY,     
7819,68213,COLLEGE PREPARATORY MIDDLE,91942
7067,67686,COLTON JOINT UNIFIED,     
9785,69948,COLUMBIA ELEMENTARY,     
10933,72348,COLUMBIA UNION,     
10719,71852,COLUMBINE ELEMENTARY,     
576,10066,COLUSA COUNTY OFFICE OF EDUCATION,     
578,61598,COLUSA UNIFIED,     
4374,75309,COMMUNITY COLLABORATIVE CHARTER,93510
7661,68049,COMMUNITY MONTESSORI CHARTER,92026
6854,76505,COMMUNITY OUTREACH ACADEMY,95652
3098,64733,COMMUNITY PREPARATORY ACADEMY,90044
5258,66464,COMMUNITY ROOTS ACADEMY,92677
4,10017,COMMUNITY SCHOOL FOR CREATIVE EDUCATION,94606
1243,62331,COMPASS CHARTER SCHOOLS OF FRESNO,91361
4377,75309,COMPASS CHARTER SCHOOLS OF LOS ANGELES,91361
7824,68213,COMPASS CHARTER SCHOOLS OF SAN DIEGO,91361
4234,73437,COMPTON UNIFIED,     
11146,73759,CONEJO VALLEY UNIFIED,     
8961,69005,CONNECT COMMUNITY CHARTER,94063
10521,75572,CONNECTING WATERS CHARTER,95386
242,61259,CONSERVATORY OF VOCAL/INSTRUMENTAL ARTS,94619
600,10074,CONTRA COSTA COUNTY OFFICE OF EDUCATION,     
607,10074,CONTRA COSTA SCHOOL OF PERFORMING ARTS,94598
1974,63891,CORCORAN JOINT UNIFIED,     
438,10041,CORE BUTTE CHARTER,95926
11288,72728,CORE CHARTER,95901
5817,10314,CORE PLACER CHARTER,95713
10615,71498,CORNING UNION ELEMENTARY,     
10623,71506,CORNING UNION HIGH,     
6046,67033,CORONA-NORCO UNIFIED,     
7652,68031,CORONADO UNIFIED,     
10282,73882,COTATI-ROHNERT PARK UNIFIED,     
9790,69955,COTTONWOOD UNION ELEMENTARY,     
7825,68213,COUNTY COLLABORATIVE CHARTER,91962
2366,64436,COVINA-VALLEY UNIFIED,     
10,10017,COX ACADEMY,94603
8483,68478,CREATIVE ARTS CHARTER,94115
10283,73882,CREDO HIGH,94928
5870,66852,CREEKSIDE CHARTER,96146
2793,64733,CRENSHAW ARTS-TECHNOLOGY CHARTER HIGH,90008
10782,72140,CRESCENT VALLEY PUBLIC CHARTER,93291
1300,62547,CRESCENT VIEW SOUTH CHARTER,93722
1012,10108,CRESCENT VIEW WEST CHARTER,93726
2944,64733,CROWN PREPARATORY ACADEMY,90018
7096,67694,CUCAMONGA ELEMENTARY,     
1445,62737,CUDDEBACK UNION ELEMENTARY,     
2385,64444,CULVER CITY UNIFIED,     
9304,69419,CUPERTINO UNION,     
10936,72355,CURTIS CREEK ELEMENTARY,     
10721,71860,CUTLER-OROSI JOINT UNIFIED,     
1447,62745,CUTTEN ELEMENTARY,     
9173,75010,CUYAMA JOINT UNIFIED,     
5320,66480,CYPRESS ELEMENTARY,     
4437,76869,DA VINCI COMMUNICATIONS HIGH,90250
4435,76869,DA VINCI DESIGN,90250
4436,76869,DA VINCI INNOVATION ACADEMY,90250
4434,76869,DA VINCI SCIENCE,90250
8013,68338,DARNALL CHARTER,92115
11214,72678,DAVIS JOINT UNIFIED,     
1628,63271,DEATH VALLEY UNIFIED,     
7666,68049,DEHESA CHARTER,92026
7658,68049,DEHESA ELEMENTARY,     
7667,68056,DEL MAR UNION ELEMENTARY,     
902,10082,DEL NORTE COUNTY OFFICE OF EDUCATION,     
