School Name,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Total Race/Ethnicity,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio
HOWELL MOUNTAIN ELEMENTARY,Howell Mountain Elementary,617760,6055,1,4,45,3,32,,1,,4.8,17.92
HUBBARD STREET ELEMENTARY,Los Angeles Unified,622710,6037,,5,574,3,24,1,4,,26,23.5
HUBERT H. BANCROFT ELEMENTARY,Sacramento City Unified,633840,6067,4,20,144,48,205,9,48,,19.4,24.64
HUBERT HOWE BANCROFT MIDDLE,Los Angeles Unified,622710,6037,4,34,575,130,55,1,15,,37.01,21.99
HUDNALL (CLAUDE) ELEMENTARY,Inglewood Unified,618390,6037,9,,258,91,1,1,3,,16,22.69
HUDSON K-8,Long Beach Unified,622500,6037,4,192,366,110,10,18,28,,30.5,23.87
HUENEME ELEMENTARY,Hueneme Elementary,617850,6111,1,13,272,18,54,2,16,,18,20.89
HUENEME HIGH,Oxnard Union High,629270,6111,4,58,1987,28,64,8,32,,88.33,24.69
HUERTA (DOLORES) ELEMENTARY,San Francisco Unified,634410,6075,,10,268,20,47,,30,,14,26.79
HUGHES MIDDLE,Long Beach Unified,622500,6037,5,289,648,336,146,26,78,,50.3,30.38
HUGHES-ELIZABETH LAKES,Hughes-Elizabeth Lakes Union Elementary,617880,6037,1,1,57,2,132,,9,,8.65,23.35
HUGHSON ELEMENTARY,Hughson Unified,600060,6099,,7,333,,212,,2,,26.4,20.98
HUGHSON HIGH,Hughson Unified,600060,6099,5,5,352,1,315,,11,,34.38,20.04
HUGO REID ELEMENTARY,Arcadia Unified,602970,6037,,354,134,11,85,1,22,,21,28.9
HUMANITAS ACAD OF ART AND TECH AT ESTEBAN E. TORRES HIGH #4,Los Angeles Unified,622710,6037,1,,397,1,4,,,,19,21.21
HUMANITIES AND ARTS (HARTS) ACADEMY OF LOS ANGELES,Los Angeles Unified,622710,6037,,22,284,110,33,18,13,,23,20.87
HUMBOLDT COUNTY OFFICE OF EDUCATION COURT,Humboldt County Office of Education,691009,6023,1,0,2,0,6,0,1,,1,10
HUMBOLDT COUNTY OFFICE OF EDUCATION JUVENILE HALL COURT,Humboldt County Office of Education,691009,6023,0,0,2,1,6,0,1,,1,10
HUMBOLDT COUNTY ROP,Humboldt County ROP,600100,6023,0,0,0,0,0,0,0,,,
HUME LAKE CHARTER,Fresno County Office of Education,691007,6019,1,1,7,,52,,3,,6.35,10.08
HUMPHREYS AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,,,623,2,9,,,,28,22.64
HUMPHREYS COLLEGE ACADEMY OF BUSINESS LAW AND EDUCATION,New Jerusalem Elementary,627030,6077,2,70,398,64,61,1,73,,33.2,20.15
HUNT ELEMENTARY,San Bernardino City Unified,634170,6071,2,4,381,175,30,1,47,,24,26.67
HUNT ELEMENTARY,Newman-Crows Landing Unified,627200,6099,,5,268,7,53,,5,,14,24.14
HUNTINGTON BEACH HIGH,Huntington Beach Union High,618060,6059,34,333,608,39,1739,17,176,,108.46,27.16
HUNTINGTON DRIVE ELEMENTARY,Los Angeles Unified,622710,6037,1,11,342,7,16,,3,,22,17.27
HUNTINGTON MIDDLE,San Marino Unified,634860,6037,1,431,63,6,190,,68,,37.45,20.27
HUNTINGTON PARK ELEMENTARY,Los Angeles Unified,622710,6037,,,433,,8,1,,,19,23.26
HUNTINGTON PARK SENIOR HIGH,Los Angeles Unified,622710,6037,1,6,1557,19,10,,2,,70.01,22.78
HUNTINGTON SEACLIFF ELEMENTARY,Huntington Beach City Elementary,618030,6059,,169,105,1,355,7,90,,26,27.96
HURD BARRINGTON ELEMENTARY,Newman-Crows Landing Unified,627200,6099,,6,321,11,108,,16,,18,25.67
HURLEY ELEMENTARY,Visalia Unified,641160,6107,3,34,306,4,299,1,36,,23,29.7
HURLEY ELEMENTARY,Rowland Unified,633750,6037,,7,518,1,4,,14,,22,24.73
HURON ELEMENTARY,Coalinga-Huron Unified,609120,6019,,32,811,2,3,,6,,40,21.35
HURON MIDDLE,Coalinga-Huron Unified,609120,6019,1,8,362,,1,,2,,16,23.38
HYAMPOM ARTS MAGNET ELEMENTARY,Mountain Valley Unified,600018,6105,0,0,0,0,0,0,0,,,
HYATT ELEMENTARY,San Jacinto Unified,634440,6065,6,1,461,45,40,3,19,,21,27.38
HYDESVILLE ELEMENTARY,Hydesville Elementary,618120,6023,,1,16,,160,,19,,9.7,20.21
IBARRA ELEMENTARY,San Diego Unified,634320,6073,3,78,285,103,13,3,20,,22,22.95
ICEF INGLEWOOD ELEMENTARY CHARTER ACADEMY,Inglewood Unified,618390,6037,2,1,68,325,,3,3,,16,25.13
ICEF INGLEWOOD MIDDLE CHARTER ACADEMY,Inglewood Unified,618390,6037,,,26,192,2,,,,5,44
ICEF INNOVATION LOS ANGELES CHARTER,Los Angeles Unified,622710,6037,2,1,32,153,,,1,,6,31.5
ICEF LOU DANTZLER PREPARATORY ACADEMY,Los Angeles Unified,622710,6037,0,0,136,234,1,0,0,,17,21.82
ICEF VIEW PARK PREPARATORY CHARTER,Los Angeles Unified,622710,6037,7,,16,509,,1,5,,16,33.63
ICEF VIEW PARK PREPARATORY CHARTER HIGH,Los Angeles Unified,622710,6037,4,2,31,627,,2,4,,23,29.13
ICEF VIEW PARK PREPARATORY CHARTER MIDDLE,Los Angeles Unified,622710,6037,2,1,12,428,,,3,,11,40.55
ICEF VISTA ELEMENTARY ACADEMY,Los Angeles Unified,622710,6037,,1,348,4,3,,1,,14,25.5
ICEF VISTA MIDDLE ACADEMY,Los Angeles Unified,622710,6037,,1,228,10,,,,,9.67,24.72
IDA JEW ACADEMIES,Mount Pleasant Elementary,626400,6085,4,44,520,14,29,2,19,,25,25.28
IDEA CENTER,Grossmont Union High,616230,6073,1,3,53,11,76,,12,,15.8,9.87
IDYLLWILD ELEMENTARY,Hemet Unified,616920,6065,2,8,113,4,190,1,11,,18.4,17.88
IFTIN CHARTER,San Diego Unified,634320,6073,,6,19,376,21,,1,,20,21.15
IGO-ONO ELEMENTARY,Igo Ono Platina Union Elementary,618160,6089,1,3,6,4,20,2,,,2,18
IHIGH VIRTUAL ACADEMY,San Diego Unified,634320,6073,,6,10,,15,,5,,9.44,3.81
ILEAD HYBRID,Acton-Agua Dulce Unified,600001,6037,5,73,659,77,1286,,270,,109.13,21.72
ILEAD LANCASTER CHARTER,Lancaster Elementary,620880,6037,1,6,225,127,211,1,102,,26.5,25.4
IMAGINE SCHOOLS AT IMPERIAL VALLEY,El Centro Elementary,612030,6025,,1,781,5,23,,,,32,25.31
IMAGINE SCHOOLS RIVERSIDE COUNTY,Riverside County Office of Education,691026,6065,,3,333,,1,,,,16,21.06
IMOGENE GARNER HOOK JUNIOR HIGH,Victor Valley Union High,636972,6071,4,12,492,209,52,5,36,,27.24,29.74
IMPACT ACADEMY OF ARTS & TECHNOLOGY,Hayward Unified,616740,6001,1,74,377,59,34,16,26,,25,23.48
IMPERIAL AVE. HOLBROOK HIGH,Imperial Unified,618210,6025,,,45,,10,,1,,2.5,22.4
IMPERIAL BEACH CHARTER,South Bay Union,637380,6073,,35,518,25,228,4,36,,35.32,23.95
IMPERIAL COUNTY JUVENILE HALL/COMMUNITY,Imperial County Office of Education,691010,6025,0,0,8,0,0,0,0,,1.2,6.67
IMPERIAL COUNTY SPECIAL EDUCATION,Imperial County Office of Education,691010,6025,2,3,368,3,18,,3,,33,12.03
IMPERIAL ELEMENTARY,Downey Unified,611460,6037,,9,498,12,20,1,1,,24,22.54
IMPERIAL ELEMENTARY,Orange Unified,628650,6059,1,88,97,4,271,2,14,,18.43,25.88
IMPERIAL HIGH,Imperial Unified,618210,6025,4,23,975,17,188,,7,,48.23,25.17
IMPERIAL MIDDLE,La Habra City Elementary,620190,6059,2,21,672,14,59,,11,,32.58,23.91
IMPERIAL PATHWAYS CHARTER,Imperial County Office of Education,691010,6025,0,0,53,0,2,0,1,,1,56
IMPERIAL VALLEY HOME SCHOOL ACADEMY,El Centro Elementary,612030,6025,,,48,,27,,3,,3.5,22.29
IMPERIAL VALLEY ROP,Imperial Valley ROP,600101,6025,0,0,0,0,0,0,0,,,
INA ARBUCKLE ELEMENTARY,Jurupa Unified,619260,6065,2,1,491,25,12,,11,,24,22.58
INDEPENDENCE,Lodi Unified,622230,6077,3,50,47,17,55,5,6,,9.45,19.37
INDEPENDENCE CHARTER,Salida Union Elementary,633900,6099,0,4,44,8,15,0,4,,7.5,10
INDEPENDENCE CHARTER ACADEMY,Helendale Elementary,616860,6071,,,112,14,56,,4,,7.75,24
INDEPENDENCE CONTINUATION,El Dorado Union High,612070,6017,5,0,18,3,52,2,5,,7,12.14
INDEPENDENCE CONTINUATION,Los Angeles Unified,622710,6037,,2,101,3,10,1,1,,7,16.86
INDEPENDENCE CONTINUATION HIGH,Golden Valley Unified,600068,6039,0,1,8,0,1,0,0,,1.32,7.58
INDEPENDENCE ELEMENTARY,Los Angeles Unified,622710,6037,1,1,735,2,11,1,3,,32,23.56
INDEPENDENCE ELEMENTARY,Rosedale Union Elementary,633480,6029,8,47,224,31,384,,21,,31,23.06
INDEPENDENCE HIGH,San Francisco Unified,634410,6075,1,30,78,26,51,6,13,,12.25,16.73
INDEPENDENCE HIGH,Liberty Union High,621600,6013,2,7,106,22,145,2,11,,14.3,20.63
INDEPENDENCE HIGH,Kern High,619540,6029,10,159,1158,166,496,3,77,,74.19,27.89
INDEPENDENCE HIGH,Paso Robles Joint Unified,600048,6079,1,3,45,1,54,,4,,5.31,20.34
INDEPENDENCE HIGH,East Side Union High,611820,6085,9,1743,991,71,85,18,27,,125.2,23.51
INDEPENDENCE HIGH (ALTERNATIVE),Roseville Joint Union High,633630,6061,2,8,34,6,116,2,14,,11.11,16.38
INDEPENDENCE HIGH (ALTERNATIVE),Alhambra Unified,600153,6037,,14,68,2,3,,2,,4.12,21.6
INDEPENDENCE HIGH (ALTERNATIVE),Merced Union High,624660,6047,,1,21,3,10,,1,,4.4,8.18
INDEPENDENCE HIGH (CONTINUATION),Amador County Unified,602450,6005,2,0,7,1,32,0,4,,4.05,11.36
INDEPENDENT ELEMENTARY,Castro Valley Unified,607800,6001,,265,111,30,151,1,98,,25.5,25.73
INDEPENDENT STUDY PROGRAM,Mountain View Whisman,626280,6085,0,0,3,2,8,0,0,,0.54,24.07
INDEPENDENT STUDY SOJOURNER TRUTH,Oakland Unified,628050,6001,1,7,58,31,13,3,5,,10.5,11.24
INDERKUM HIGH,Natomas Unified,600036,6067,11,496,527,481,291,56,149,,77,26.12
INDIAN CREEK ELEMENTARY,Mother Lode Union Elementary,625980,6017,21,4,207,6,340,,21,,25,23.96
INDIAN DIGGINGS ELEMENTARY,Indian Diggings Elementary,618240,6017,0,0,3,0,12,0,2,,0.8,21.25
INDIAN HILLS CONTINUATION HIGH,Las Virgenes Unified,621000,6037,0,0,7,1,21,0,0,,1.65,17.58
INDIAN HILLS ELEMENTARY,Jurupa Unified,619260,6065,1,27,431,16,120,2,25,,27,23.04
INDIAN SPRINGS ELEMENTARY,Indian Springs Elementary,618270,6089,0,0,2,0,9,0,0,,2,5.5
INDIAN SPRINGS HIGH,San Bernardino City Unified,634170,6071,10,50,1405,201,56,2,36,,66.01,26.66
INDIAN VALLEY ELEMENTARY,Walnut Creek Elementary,641250,6013,1,87,57,12,216,,25,,19,20.95
INDIAN VALLEY ELEMENTARY,Stony Creek Joint Unified,638070,6011,4,,2,,1,,1,,1,8
INDIAN VALLEY ELEMENTARY,Plumas Unified,631170,6063,17,2,18,,85,,2,,5.67,21.87
INDIANOLA ELEMENTARY,Selma Unified,636270,6019,1,43,432,1,22,,,,21.06,23.69
INDIO HIGH,Desert Sands Unified,611110,6065,3,14,1918,28,47,,14,,76.3,26.53
INDIO MIDDLE,Desert Sands Unified,611110,6065,1,5,761,12,23,,7,,31.01,26.09
INFANT AND PRESCHOOL PROGRAM,Oakland Unified,628050,6001,,,,1,,,,,,
INFANT PRE,San Ramon Valley Unified,635130,6013,,,,,,,,,,
INGENIUM CHARTER,Los Angeles Unified,622710,6037,1,27,317,26,41,2,14,,19,22.53
INGENIUM CHARTER MIDDLE,Los Angeles Unified,622710,6037,1,12,110,7,13,,,,7,20.43
INGENUITY CHARTER,San Diego Unified,634320,6073,,4,68,21,7,1,10,,3,37
INGLEWOOD CONTINUATION HIGH,Inglewood Unified,618390,6037,1,1,57,17,0,1,1,,4.34,17.97
INGLEWOOD HIGH,Inglewood Unified,618390,6037,3,7,554,300,4,3,5,,41.89,20.91
INGRID B. LACY MIDDLE,Pacifica,620460,6081,1,124,145,9,188,9,73,,25.34,21.67
INLAND LEADERS CHARTER,Yucaipa-Calimesa Joint Unified,643560,6071,,,229,,,,734,,45.29,21.26
INNOVATION MIDDLE,San Diego Unified,634320,6073,1,52,263,33,115,6,41,,23.5,21.74
INNOVATIONS ACADEMY,San Diego Unified,634320,6073,1,24,76,12,230,3,44,,19.25,20.26
INNOVATIONS ACADEMY OF PALMDALE,Palmdale Elementary,629580,6037,1,2,24,10,4,,,,2,20.5
INNOVATIVE HORIZONS CHARTER,Perris Elementary,630180,6065,4,5,833,68,23,,1,,37,25.24
INSIGHT @ SAN DIEGO,Spencer Valley Elementary,637680,6111,2,6,68,11,72,1,14,,6.54,26.61
INSIGHT @ SAN JOAQUIN,New Jerusalem Elementary,627030,6111,5,8,54,23,50,4,12,,5.68,27.46
INSIGHT SCHOOL OF CALIFORNIA,Maricopa Unified,623820,6111,19,6,114,48,133,4,59,,14.77,25.93
INSPIRE CHARTER,Acton-Agua Dulce Unified,600001,6037,6,109,627,135,866,6,229,,144.37,13.7
INSPIRE CHARTER - KERN,Maricopa Unified,623820,6029,13,22,420,50,958,,135,,119.35,13.39
INSPIRE CHARTER - SOUTH,Dehesa Elementary,610710,6073,19,188,860,111,1510,10,297,,155.9,19.21
INSPIRE CHARTER SCHOOL - NORTH,Winship-Robbins,642900,6101,4,14,124,2,359,,70,,38.41,14.92
INSPIRE CHARTER SCHOOLS - CENTRAL,Westside Elementary,642210,6019,0,13,44,6,181,0,4,,22.57,10.99
INSPIRE SCHOOL OF ARTS AND SCIENCES,Chico Unified,608370,6007,9,9,63,6,328,1,44,,22.93,20.06
INTEGRITY CHARTER,National Elementary,626670,6073,,9,314,5,3,3,3,,15,22.47
INTELLECTUAL VIRTUES ACADEMY,Los Angeles County Office of Education,691078,6037,0,2,21,11,9,0,1,,2.2,20
INTELLECTUAL VIRTUES ACADEMY OF LONG BEACH,Long Beach Unified,622500,6037,,12,64,21,73,,17,,10.3,18.16
INTENSIVE LEARNING CENTER,Bellflower Unified,604440,6037,4,64,348,120,81,1,12,,28,22.5
INTERMOUNTAIN STEM ACADEMY CHARTER,Kelseyville Unified,619320,6033,0,0,0,0,10,0,3,,1.5,8.67
INTERNATIONAL COMMUNITY,Oakland Unified,628050,6001,,6,277,5,5,,8,,14,21.5
INTERNATIONAL POLYTECHNIC HIGH,Los Angeles County Office of Education,691078,6037,,107,349,13,62,1,24,,20.46,27.17
INTERNATIONAL SCHOOL OF MONTEREY,Monterey Peninsula Unified,625530,6053,,63,129,17,142,,64,,23.5,17.66
INTERNATIONAL STUDIES LRNG CENTER AT LEGACY HIGH SCH COMPLEX,Los Angeles Unified,622710,6037,,2,828,4,4,,1,,35,23.97
INVERNESS ELEMENTARY,Shoreline Unified,636670,6041,,1,18,,15,1,2,,2,18.5
INYO CO SMALL STEPS INFANT TODDLER AND PRESCH PROGRAM,Inyo County Office of Education,691011,6027,,,,,,,,,,
INYOKERN ELEMENTARY,Sierra Sands Unified,636800,6029,11,5,46,4,130,,2,,8,24.75
IONE ELEMENTARY,Amador County Unified,602450,6005,14,3,93,2,302,2,20,,17.5,24.91
IONE JUNIOR HIGH,Amador County Unified,602450,6005,5,,67,5,221,2,21,,14.8,21.69
IONE OLSON ELEMENTARY,Monterey Peninsula Unified,625530,6053,1,54,190,17,75,12,60,,20,20.45
IPAKANNI EARLY COLLEGE CHARTER,Feather Falls Union Elementary,613710,6007,20,0,12,3,17,0,13,,3.4,19.12
IQ ACADEMY CALIFORNIA-LOS ANGELES,Rowland Unified,633750,6111,11,39,156,71,152,6,35,,21,22.38
IRA HARBISON,National Elementary,626670,6073,1,167,314,17,23,6,24,,21.12,26.14
IRENE B. WEST ELEMENTARY,Elk Grove Unified,612330,6067,10,367,153,131,61,23,121,,36,24.06
IRON HORSE MIDDLE,San Ramon Valley Unified,635130,6013,,415,103,21,442,5,72,,42.5,24.89
IRON HOUSE ELEMENTARY,Oakley Union Elementary,628080,6013,3,59,304,112,193,7,59,,30.5,24.16
IRVINE ADULT TRANSITION PROGRAMS,Irvine Unified,684500,6059,,30,9,1,33,,7,,3,26.67
IRVINE HIGH,Irvine Unified,684500,6059,5,1111,243,59,577,12,60,,77.2,26.77
IRVING L. BRANCH ELEMENTARY,Muroc Joint Unified,626490,6029,4,31,190,63,363,1,101,,33,22.82
IRVINGTON HIGH,Fremont Unified,614400,6001,5,1619,224,38,316,11,36,,87.61,25.67
IRWIN ACADEMY OF PERFORMING ARTS,Victor Elementary,641040,6071,10,4,437,162,83,4,29,,28,26.04
IRWIN HIGH (CONTINUATION),Hilmar Unified,617220,6047,0,0,18,0,19,0,1,,3.33,11.41
IRWIN O. ADDICOTT ELEMENTARY,Fresno Unified,614550,6019,0,3,34,3,2,0,0,,5,8.4
ISAAC L. SOWERS MIDDLE,Huntington Beach City Elementary,618030,6059,5,120,176,5,771,3,113,,46.81,25.49
ISAAC NEWTON GRAHAM MIDDLE,Mountain View Whisman,626280,6085,,132,345,13,272,4,79,,41.8,20.22
ISABELLE JACKSON ELEMENTARY,Elk Grove Unified,612330,6067,8,273,248,140,95,12,94,,35,24.86
ISADOR COHEN ELEMENTARY,Sacramento City Unified,633840,6067,1,20,104,69,34,,28,,10.4,24.62
ISBELL MIDDLE,Santa Paula Unified,601421,6111,,3,1212,1,40,1,2,,54.33,23.17
ISHI HILLS MIDDLE,Oroville City Elementary,629100,6007,9,8,59,3,164,1,43,,13.32,21.55
ISLA VISTA ELEMENTARY,Goleta Union Elementary,615510,6083,1,60,260,7,111,1,22,,24,19.25
ISLAND COMMUNITY DAY,Kingsburg Elementary Charter,619800,6019,0,0,1,0,0,0,0,,1,1
ISLAND ELEMENTARY,Island Union Elementary,618510,6031,,,151,2,215,,19,,18,21.5
ISLAND HIGH (CONTINUATION),Alameda Unified,601770,6001,0,15,46,26,25,2,14,,11.9,10.76
ISLETON ELEMENTARY,River Delta Joint Unified,633110,6067,1,1,99,1,68,,7,,9,19.67
ITLIONG-VERA CRUZ,New Haven Unified,626910,6001,3,880,268,94,88,22,89,,56.7,25.47
IVANHOE ELEMENTARY,Visalia Unified,641160,6107,2,,607,,13,,8,,23,27.39
IVANHOE ELEMENTARY,Los Angeles Unified,622710,6037,,39,76,6,294,2,38,,17,26.76
IVEY RANCH ELEMENTARY,Oceanside Unified,628250,6073,,75,227,28,308,8,112,,30.5,24.85
IVY ACADEMIA,Los Angeles Unified,622710,6037,3,112,422,70,148,3,29,,38,20.71
IVY BOUND ACAD MATH SCI AND TECH CHARTER MID 2,Los Angeles Unified,622710,6037,,18,96,21,46,,9,,11,17.27
IVY BOUND ACAD OF MATH SCI AND TECH CHARTER MID,Los Angeles Unified,622710,6037,1,14,63,6,128,,10,,9.5,23.37
IVY HIGH (CONTINUATION),Fallbrook Union High,613530,6073,1,,114,4,11,,,,6.1,21.31
IVYTECH CHARTER,Moorpark Unified,625690,6111,,,25,2,50,,6,,4.05,20.49
IZAAK WALTON INTERMEDIATE,Garden Grove Unified,614880,6059,,107,459,3,37,5,4,,24.17,25.44
J. C. CRUMPTON ELEMENTARY,Monterey Peninsula Unified,625530,6053,,38,206,23,63,16,77,,20,21.15
J. C. MONTGOMERY,Kings County Office of Education,691013,6031,0,1,38,4,8,0,3,,3,18
J. E. HESTER ELEMENTARY,Farmersville Unified,600035,6107,,2,400,,19,,,,17.5,24.06
J. E. VAN WIG ELEMENTARY,Bassett Unified,604110,6037,,18,390,4,2,,,,16,25.88
J. E. YOUNG ACADEMIC CENTER,Fresno Unified,614550,6019,0,15,188,40,27,0,1,,11.5,23.57
J. EVERETT BARR COURT,Siskiyou County Office of Education,691038,6093,0,0,1,0,2,0,1,,1,4
J. H. HULL MIDDLE,Torrance Unified,639420,6037,1,101,389,34,138,5,48,,30.75,23.28
J. H. MCGAUGH ELEMENTARY,Los Alamitos Unified,622590,6059,2,59,182,16,521,7,65,,38,22.42
J. HALEY DURHAM ELEMENTARY,Fremont Unified,614400,6001,,353,145,32,60,2,24,,24,25.67
J. M. AMADOR ELEMENTARY,Dublin Unified,600019,6001,5,706,23,14,70,,56,,38,23
J. MARION ROYNON ELEMENTARY,Bonita Unified,605610,6037,,33,513,24,132,,39,,30,24.7
J. W. OAKLEY ELEMENTARY,Brawley Elementary,605790,6025,,2,766,5,9,,,,32,24.44
J. X. WILSON ELEMENTARY,Wright Elementary,643200,6097,8,43,292,13,157,3,9,,22,23.86
JACK FRANSCIONI ELEMENTARY,Soledad Unified,637050,6053,,22,539,2,24,,4,,22.75,25.98
JACK G. DESMOND MIDDLE,Madera Unified,623340,6039,4,4,843,17,57,,6,,37.13,25.07
JACK L. WEAVER ELEMENTARY,Los Alamitos Unified,622590,6059,2,274,124,15,235,4,39,,27,25.67
JACK LONDON COMMUNITY DAY,Los Angeles Unified,622710,6037,,,,,,,,,6,
JACK LONDON CONTINUATION,Los Angeles Unified,622710,6037,,1,55,7,6,,,,8,8.63
JACK LONDON ELEMENTARY,Piner-Olivet Union Elementary,630450,6097,7,21,156,14,117,1,29,,13.5,25.56
JACK LONDON ELEMENTARY,Antioch Unified,602850,6013,,63,200,146,38,2,41,,21.53,22.76
JACK NORTHROP ELEMENTARY,Lancaster Elementary,620880,6037,3,26,372,224,54,1,30,,26,27.31
JACK NORTON ELEMENTARY,Klamath-Trinity Joint Unified,619950,6023,22,,3,,4,,,,,
JACKSON ACADEMY OF MUSIC AND MATH (JAMM),Morgan Hill Unified,625830,6085,2,40,288,5,238,2,17,,23.5,25.19
JACKSON AVENUE ELEMENTARY,Livermore Valley Joint Unified,622110,6001,3,47,208,9,222,2,46,,22.8,23.55
JACKSON ELEMENTARY,Rescue Union Elementary,632310,6017,3,35,74,10,329,5,7,,20,23.15
JACKSON ELEMENTARY,Fresno Unified,614550,6019,5,5,391,8,4,,4,,18,23.17
JACKSON ELEMENTARY,Amador County Unified,602450,6005,16,13,109,2,268,0,21,,19.1,22.46
JACKSON ELEMENTARY,Sanger Unified,635250,6019,,6,338,2,38,,55,,17.5,25.09
JACKSON ELEMENTARY,Pasadena Unified,629940,6037,2,8,393,76,59,1,8,,19.1,28.64
JACKSON ELEMENTARY,Riverside Unified,633150,6065,6,17,626,53,97,,32,,31.7,26.21
JACKSON HEIGHTS ELEMENTARY,Red Bluff Union Elementary,631980,6103,19,4,162,3,254,1,14,,,
JACKSON JUNIOR HIGH,Amador County Unified,602450,6005,8,4,57,3,267,,25,,16.7,21.8
JACKSON STREET ELEMENTARY,Yreka Union Elementary,643380,6093,77,10,84,4,323,,28,,29,18.14
JACOB WIENS ELEMENTARY,Hemet Unified,616920,6065,1,5,542,135,133,3,28,,32.5,26.06
JACOBSEN MIDDLE,Tehachapi Unified,638880,6029,4,19,319,16,618,1,9,,39.21,25.15
JACOBY CREEK,Jacoby Creek Elementary,618660,6023,7,15,53,4,331,,45,,20.28,22.44
JAIME ESCALANTE ELEMENTARY,Los Angeles Unified,622710,6037,,1,566,1,30,,3,,26,23.12
JAMACHA ELEMENTARY,Cajon Valley Union,606810,6073,1,23,123,23,299,5,30,,22.4,22.5
JAMES A. GARFIELD SENIOR HIGH,Los Angeles Unified,622710,6037,2,7,2500,9,11,1,1,,100.5,25.18
JAMES A. GRAHAM ELEMENTARY,Newark Unified,627060,6001,2,41,282,6,24,10,11,,15.2,24.74
JAMES A. MCKEE ELEMENTARY,Elk Grove Unified,612330,6067,3,49,215,28,169,3,56,,20,26.15
JAMES A. WHITAKER ELEMENTARY,Buena Park Elementary,606360,6059,2,39,464,22,26,6,9,,22,25.82
JAMES B. DAVIDSON MIDDLE,San Rafael City Elementary,635090,6041,2,45,793,12,338,4,7,,48.6,24.71
JAMES C. ENOCHS HIGH,Modesto City High,625150,6099,7,223,1013,95,851,26,197,,90.77,26.57
JAMES DOUGHERTY ELEMENTARY,Dublin Unified,600019,6001,1,610,66,8,148,,62,,35,25.57
JAMES DUKES ELEMENTARY,Ramona City Unified,631710,6073,4,6,94,2,385,,49,,22,24.55
JAMES E. POTTER INTERMEDIATE,Fallbrook Union Elementary,613500,6073,1,13,586,12,226,2,9,,33,25.73
JAMES EARL CARTER ELEMENTARY,Desert Sands Unified,611110,6065,1,76,302,10,252,2,40,,28,24.39
JAMES FOSTER ELEMENTARY,Saugus Union,635970,6037,1,39,175,18,353,1,11,,22,27.18
JAMES FRANKLIN SMITH ELEMENTARY,Evergreen Elementary,613140,6085,,550,39,7,72,2,36,,26,27.15
JAMES GARFIELD ELEMENTARY,Selma Unified,636270,6019,,2,223,,13,,1,,10.59,22.57
JAMES IRVINE INTERMEDIATE,Garden Grove Unified,614880,6059,1,382,381,3,18,4,1,,31.67,24.94
JAMES J. MCBRIDE SPECIAL EDUCATION CENTER,Los Angeles Unified,622710,6037,,5,23,15,6,,,,8,6.13
JAMES JORDAN MIDDLE,Los Angeles Unified,622710,6037,,10,358,7,6,,3,,16.1,23.85
JAMES K. POLK ELEMENTARY,Central Unified,607970,6019,3,185,476,61,97,2,10,,28,29.79
JAMES L. DAY MIDDLE,Temecula Valley Unified,600028,6065,2,95,423,35,370,4,99,,41.25,24.92
JAMES LEITCH ELEMENTARY,Fremont Unified,614400,6001,3,813,31,5,36,2,12,,40.2,22.44
JAMES LICK HIGH,East Side Union High,611820,6085,5,155,884,22,41,8,5,,52.65,21.27
JAMES LOGAN HIGH,New Haven Unified,626910,6001,10,1669,1307,250,219,113,182,,154.75,24.23
JAMES M. BURCHFIELD PRIMARY,Colusa Unified,609570,6011,17,5,345,,79,1,8,,22,20.68
JAMES MADISON ELEMENTARY,Desert Sands Unified,611110,6065,,7,500,3,39,,3,,22,25.09
JAMES MADISON ELEMENTARY,Madera Unified,623340,6039,6,3,580,6,31,,,,27,23.19
JAMES MADISON MIDDLE,Los Angeles Unified,622710,6037,1,83,1214,39,380,6,9,,66,26.24
JAMES MARSHALL ELEMENTARY,Modesto City Elementary,625130,6099,3,72,609,9,43,3,63,,33,24.3
JAMES MARSHALL ELEMENTARY,Sacramento City Unified,633840,6067,1,48,130,59,141,3,41,,17.9,23.63
JAMES MONROE ELEMENTARY,Santa Rosa Elementary,635810,6097,2,6,412,7,8,1,7,,20.2,21.93
JAMES MONROE ELEMENTARY,Madera Unified,623340,6039,4,1,710,5,3,,3,,28,25.93
JAMES MONROE ELEMENTARY,Desert Sands Unified,611110,6065,4,15,340,24,239,3,32,,26,25.27
JAMES MONROE ELEMENTARY,Garden Grove Unified,614880,6059,0,12,147,3,5,1,8,,7,25.14
JAMES MONROE HIGH,Los Angeles Unified,622710,6037,2,102,1976,61,71,9,9,,103.5,21.55
JAMES MONROE MIDDLE,Sierra Sands Unified,636800,6029,10,16,143,38,283,5,13,,24.53,20.71
JAMES R. COWAN FUNDAMENTAL ELEMENTARY,San Juan Unified,634620,6067,1,18,76,22,354,2,19,,16.5,29.82
JAMES RUTTER MIDDLE,Elk Grove Unified,612330,6067,2,313,358,143,54,29,31,,46.01,20.21
JAMES S. FUGMAN ELEMENTARY,Clovis Unified,609030,6019,5,232,159,15,421,1,33,,29,29.86
