School Name,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,Total Race/Ethnicity,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio
ALAMO ELEMENTARY,Vacaville Unified,640590,6095,2,19,210,20,368,7,55,,26,26.19
ALAMOS ELEMENTARY,Temecula Valley Unified,600028,6065,2,121,294,43,322,2,111,,37,24.19
ALAMOSA PARK ELEMENTARY,Vista Unified,641190,6073,5,35,218,12,251,11,48,,22,26.36
ALBA,San Diego Unified,634320,6073,0,1,20,7,2,1,1,,11,2.91
ALBANY HIGH,Albany City Unified,601860,6001,3,353,199,50,427,3,129,,58.77,19.81
ALBANY MIDDLE,Albany City Unified,601860,6001,1,257,151,25,361,3,121,,41.78,22
ALBANY PARK ELEMENTARY,Delano Union Elementary,610890,6029,,36,382,1,,,1,,18,23.33
ALBERT A. MICHELSON ELEMENTARY,Vallecito Union,640680,6009,4,4,47,,153,,15,,11,20.27
ALBERT BAXTER ELEMENTARY,Bellflower Unified,604440,6037,1,30,380,47,21,1,4,,19,25.47
ALBERT EINSTEIN ACAD FOR LTRS ARTS & SCIS - ODYSSEY,Acton-Agua Dulce Unified,600001,6037,0,16,26,23,129,1,26,,11,20.09
ALBERT EINSTEIN ACAD LTRS ARTS SCIS - AQUA DULCE PART. ACAD,Acton-Agua Dulce Unified,600001,6037,,,60,4,68,,11,,7,20.43
ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,San Diego Unified,634320,6073,1,15,311,32,304,,134,,35.2,22.64
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,San Diego Unified,634320,6073,3,7,369,37,158,1,37,,30.44,20.11
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES,William S. Hart Union High,642510,6037,3,90,67,26,260,1,16,,21.67,21.37
ALBERT EINSTEIN ACADEMY FOR LETTERS ARTS AND SCIENCES-STEAM,Acton-Agua Dulce Unified,600001,6037,3,133,92,39,177,,32,,18,26.44
ALBERT EINSTEIN CONTINUATION,Los Angeles Unified,622710,6037,,1,69,1,4,,1,,4,19
ALBERT EINSTEIN MIDDLE,Sacramento City Unified,633840,6067,7,79,230,129,216,10,47,,30.2,23.77
ALBERT F. BIELLA ELEMENTARY,Santa Rosa Elementary,635810,6097,3,13,282,9,50,,12,,18,20.5
ALBERT POWELL CONTINUATION,Yuba City Unified,643470,6101,2,4,66,7,56,,14,,14.06,10.6
ALBERT SCHWEITZER ELEMENTARY,San Juan Unified,634620,6067,4,14,76,13,244,1,23,,13.25,28.3
ALBERTA MARTONE ELEMENTARY,Modesto City Elementary,625130,6099,4,50,461,6,81,11,34,,25.1,25.78
ALBION ELEMENTARY,Mendocino Unified,624480,6045,0,0,1,0,7,0,1,,1,9
ALBION STREET ELEMENTARY,Los Angeles Unified,622710,6037,,28,217,4,5,,,,11,23.09
ALCOTT ELEMENTARY,Riverside Unified,633150,6065,4,7,455,74,242,1,26,,30.33,26.67
ALCOTT ELEMENTARY,Pomona Unified,631320,6037,6,22,808,34,16,,3,,35,25.4
ALCOTT ELEMENTARY,San Diego Unified,634320,6073,,6,87,2,82,,22,,7.8,25.51
ALDAMA ELEMENTARY,Los Angeles Unified,622710,6037,0,7,451,3,61,0,4,,24,21.92
ALDER CREEK MIDDLE,Tahoe-Truckee Unified,638770,6057,,7,177,2,344,,16,,28.6,19.09
ALDER GROVE CHARTER,South Bay Union Elementary,637350,6023,12,1,51,2,308,,58,,23.23,18.6
ALDER MIDDLE,Fontana Unified,613920,6071,,14,1032,71,47,8,8,,50.15,23.53
ALDERWOOD ELEMENTARY,Irvine Unified,684500,6059,1,382,102,13,237,1,101,,29.2,28.66
ALESSANDRO,Moreno Valley Unified,625800,6065,,,17,21,7,1,2,,6,8
ALESSANDRO HIGH,Hemet Unified,616920,6065,4,0,228,66,73,2,16,,19,20.47
ALEXANDER FLEMING MIDDLE,Los Angeles Unified,622710,6037,5,105,983,213,73,21,14,,60,23.57
ALEXANDER HAMILTON ELEMENTARY,Stockton Unified,638010,6077,16,72,640,74,12,1,19,,25.08,33.25
ALEXANDER HAMILTON SENIOR HIGH,Los Angeles Unified,622710,6037,7,113,1379,722,440,9,49,,116.5,23.34
ALEXANDER ROSE ELEMENTARY,Milpitas Unified,624500,6085,6,226,178,6,33,6,29,,20.56,23.54
ALEXANDER VALLEY ELEMENTARY,Alexander Valley Union Elementary,601890,6097,,,48,1,80,,1,,7.7,16.88
ALEXANDRIA AVENUE ELEMENTARY,Los Angeles Unified,622710,6037,1,43,713,7,19,6,6,,33,24.09
ALFONSO B. PEREZ SPECIAL EDUCATION CENTER,Los Angeles Unified,622710,6037,1,22,271,3,4,0,2,,36,8.42
ALFRED B. NOBEL CHARTER MIDDLE,Los Angeles Unified,622710,6037,8,552,1036,108,649,7,82,,87.5,27.91
ALFRED S. MADRID MIDDLE,Mountain View Elementary,626190,6037,,76,773,1,,,3,,39.11,21.81
ALHAMBRA HIGH,Alhambra Unified,600153,6037,6,1101,1274,29,57,2,43,,101.4,24.77
ALHAMBRA SENIOR HIGH,Martinez Unified,624030,6013,4,96,327,33,606,3,110,,56,21.05
ALIANZA CHARTER,Pajaro Valley Unified,629490,6087,,6,635,5,30,,,,28,24.14
ALICANTE AVENUE ELEMENTARY,Lamont Elementary,620850,6029,,6,1190,2,14,,1,,41.5,29.23
ALICE BIRNEY ELEMENTARY,Eureka City Schools,600052,6023,22,67,154,13,108,14,37,,17,24.41
ALICE BIRNEY ELEMENTARY,Colton Joint Unified,609390,6071,,5,716,20,13,,1,,29,26.03
ALICE BIRNEY WALDORF-INSPIRED,Sacramento City Unified,633840,6067,3,15,129,34,324,1,48,,26,21.31
ALICE C. STELLE MIDDLE,Las Virgenes Unified,621000,6037,5,64,47,19,657,1,14,,35.37,22.82
ALICE M. ELLINGTON ELEMENTARY,Azusa Unified,603600,6037,1,19,477,4,31,,1,,23,23.17
ALICE M. WORSLEY,Fresno County Office of Education,691007,6019,1,7,123,58,27,1,2,,18,12.17
ALICE N. STROUD ELEMENTARY,Empire Union Elementary,612690,6099,1,23,312,15,129,2,21,,20,25.15
ALICE SHAW ELEMENTARY,Orcutt Union Elementary,628710,6083,,14,351,5,215,2,50,,23.5,27.11
ALICIA CORTEZ ELEMENTARY,Chino Valley Unified,608460,6071,,17,538,9,77,1,13,,23.1,28.35
ALICIA REYES ELEMENTARY,Merced City Elementary,624600,6047,1,45,588,30,18,,3,,27,25.37
ALILA,Earlimart Elementary,611760,6107,,4,573,3,5,,10,,27,22.04
ALISAL COMMUNITY,Alisal Union,601950,6053,,2,752,,,,14,,30,25.6
ALISAL ELEMENTARY,Pleasanton Unified,600020,6001,,187,64,7,275,,41,,25.66,22.37
ALISAL HIGH,Salinas Union High,633980,6053,2,18,2690,4,35,,,,101.66,27.04
ALISO ELEMENTARY,Carpinteria Unified,607560,6083,1,2,355,2,60,,4,,17,24.94
ALISO NIGUEL HIGH,Capistrano Unified,607440,6059,5,444,554,49,1735,8,265,,113.37,26.99
ALISO VIEJO MIDDLE,Capistrano Unified,607440,6059,2,141,213,23,634,2,81,,43.41,25.25
ALL TRIBES CHARTER,Warner Unified,600042,6073,45,,5,,1,,,,3,17
ALL TRIBES ELEMENTARY CHARTER,Warner Unified,600042,6073,37,,9,,2,,1,,3,16.33
ALLAN ORRENMAA ELEMENTARY,Alvord Unified,602430,6065,2,26,450,13,83,1,10,,24,24.38
ALLAN PETERSON ELEMENTARY,Merced City Elementary,624600,6047,3,68,319,12,199,1,37,,25,25.56
ALLEN (DECIMA M.) ELEMENTARY,San Bruno Park Elementary,634230,6081,,53,190,2,55,24,22,,13,26.62
ALLEN (ELLA B.) ELEMENTARY,Chula Vista Elementary,608610,6073,,34,241,9,98,,11,,16,24.56
ALLEN AT STEINBECK,San Jose Unified,634590,6085,,51,422,20,119,1,40,,31.9,20.47
ALLEN AVENUE ELEMENTARY,Bonita Unified,605610,6037,,35,273,12,128,,36,,20.42,23.7
ALLENDALE ELEMENTARY,Oakland Unified,628050,6001,3,69,167,101,16,3,12,,17,21.82
ALLENSWORTH ELEMENTARY,Allensworth Elementary,601980,6107,,,77,1,,,,,3.84,20.31
ALLESANDRO ELEMENTARY,Los Angeles Unified,622710,6037,,31,361,9,20,,2,,19,22.26
ALLIANCE ACADEMY,Oakland Unified,628050,6001,3,9,223,74,1,10,8,,20.3,16.16
ALLIANCE ALICE M. BAXTER COLLEGE-READY HIGH,Los Angeles Unified,622710,6037,3,15,223,22,14,2,0,,15,18.6
ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACADEMY HIGH,Los Angeles Unified,622710,6037,1,1,463,38,,,,,28.1,17.9
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 12,Los Angeles Unified,622710,6037,,2,406,8,1,,,,16,26.06
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 4,Los Angeles Unified,622710,6037,,1,438,11,1,1,,,19.74,22.9
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 5,Los Angeles Unified,622710,6037,3,9,284,3,4,,,,17,17.82
ALLIANCE COLLEGE-READY MIDDLE ACADEMY 8,Los Angeles Unified,622710,6037,,,443,,1,,1,,19.7,22.59
ALLIANCE COLLINS FAMILY COLLEGE-READY HIGH,Los Angeles Unified,622710,6037,,2,598,1,,,,,31.7,18.96
ALLIANCE DR. OLGA MOHAN HIGH,Los Angeles Unified,622710,6037,,3,432,2,2,,,,24.67,17.79
ALLIANCE GERTZ-RESSLER RICHARD MERKIN 6-12 COMPLEX,Los Angeles Unified,622710,6037,1,1,972,11,1,,,,45.75,21.55
ALLIANCE JACK H. SKIRBALL MIDDLE,Los Angeles Unified,622710,6037,,1,395,48,,,,,18.95,23.43
ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH,Los Angeles Unified,622710,6037,,1,588,18,1,,1,,28,21.75
ALLIANCE KORY HUNTER MIDDLE,Los Angeles Unified,622710,6037,,1,460,1,1,,,,20.53,22.55
ALLIANCE LEADERSHIP MIDDLE ACADEMY,Los Angeles Unified,622710,6037,,1,272,93,,,2,,20.17,18.24
ALLIANCE LEICHTMAN-LEVINE FAMILY FOUNDATION ENV SCI HIGH,Los Angeles Unified,622710,6037,3,34,466,3,17,,,,28.2,18.55
ALLIANCE MARC & EVA STERN MATH AND SCIENCE,Los Angeles Unified,622710,6037,4,12,551,8,9,,,,31.25,18.69
ALLIANCE MARGARET M. BLOOMFIELD TECHNOLOGY ACADEMY HIGH,Los Angeles Unified,622710,6037,0,0,382,2,0,0,0,,19,20.21
ALLIANCE MARINE - INNOVATION AND TECHNOLOGY 6-12 COMPLEX,Los Angeles Unified,622710,6037,4,16,237,11,38,1,4,,14.9,20.87
ALLIANCE MORGAN MCKINZIE HIGH,Los Angeles Unified,622710,6037,1,,325,1,,,,,18,18.17
ALLIANCE OUCHI-O'DONOVAN 6-12 COMPLEX,Los Angeles Unified,622710,6037,1,1,943,64,1,,,,45.5,22.2
