School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2016-17,Agency ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Hispanic Students [Public School] 2016-17,Black Students [Public School] 2016-17,White Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Two or More Races Students [Public School] 2016-17,Total Race/Ethnicity [Public School] 2016-17
ADELANTE HIGH,California,Riverbank Unified,600061,–,–,47,–,8,–,–,†
ADELANTE HIGH,California,Reef-Sunset Unified,632270,0,0,2,0,0,0,0,†
ADELANTE HIGH (CONTINUATION),California,Roseville Joint Union High,633630,4,5,41,3,39,0,6,†
ADELANTE SPANISH IMMERSION,California,Redwood City Elementary,632130,–,3,331,3,114,–,12,†
ADELANTO ELEMENTARY,California,Adelanto Elementary,601710,8,–,189,134,38,2,14,†
ADELANTO HIGH,California,Victor Valley Union High,636972,6,28,1190,441,83,3,46,†
ADELE HARRISON MIDDLE,California,Sonoma Valley Unified,637200,4,7,202,1,200,1,10,†
ADOBE BLUFFS ELEMENTARY,California,Poway Unified,631530,–,120,39,1,152,2,31,†
ADOLFO CAMARILLO HIGH,California,Oxnard Union High,629270,2,230,940,46,1064,9,75,†
ADRIAN WILCOX HIGH,California,Santa Clara Unified,635430,7,681,711,50,401,15,77,†
ADULT EDUCATION,California,†,608130,†,†,†,†,†,†,†,†
ADULT EDUCATION,California,†,614880,†,†,†,†,†,†,†,†
ADULT TRANSITION PROGRAM,CALIFORNIA,Bonita Unified,605610,–,1,9,–,5,–,1,†
ADVANCED LEARNING ACADEMY,CALIFORNIA,Santa Ana Unified,635310,1,2,224,1,5,0,3,†
AEOLIAN ELEMENTARY,California,Los Nietos,622890,2,2,459,3,16,1,12,†
AFFLERBAUGH-PAIGE CAMP,California,Los Angeles County Office of Education,691078,1,1,58,20,5,0,0,†
AGGELER COMMUNITY DAY,California,Los Angeles Unified,622710,1,1,50,18,10,1,–,†
AGNES J. JOHNSON  ELEMENTARY,California,Southern Humboldt Joint Unified,637590,–,–,15,1,52,6,2,†
