School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2016-17,Agency ID - NCES Assigned [Public School] Latest available year,American Indian/Alaska Native Students [Public School] 2016-17,Asian or Asian/Pacific Islander Students [Public School] 2016-17,Hispanic Students [Public School] 2016-17,Black Students [Public School] 2016-17,White Students [Public School] 2016-17,Hawaiian Nat./Pacific Isl. Students [Public School] 2016-17,Two or More Races Students [Public School] 2016-17,Total Race/Ethnicity [Public School] 2016-17
HAYFORK ELEMENTARY,California,Mountain Valley Unified,600018,8,26,23,–,108,–,28,†
HAYFORK HIGH,California,Mountain Valley Unified,600018,9,9,10,–,37,1,8,†
HAYNES CHARTER FOR ENRICHED STUDIES,California,Los Angeles Unified,622710,–,85,41,16,258,–,18,†
HAYWARD HIGH,California,Hayward Unified,616740,4,167,973,238,118,46,30,†
HAZEL FISCHER ELEMENTARY,California,Vallecito Union,640680,2,2,18,–,129,1,11,†
HAZEL M. BAILEY PRIMARY,California,Firebaugh-Las Deltas Unified,613840,–,3,564,–,18,1,–,†
HAZEL STRAUCH ELEMENTARY,California,Twin Rivers Unified,601332,11,35,428,81,35,6,25,†
HAZELTINE AVENUE ELEMENTARY,California,Los Angeles Unified,622710,2,24,685,15,68,–,2,†
HAZELTON ELEMENTARY,California,Stockton Unified,638010,10,77,604,75,21,3,14,†
HEALDSBURG CHARTER,California,Healdsburg Unified,600044,–,6,102,3,170,1,1,†
HEALDSBURG ELEMENTARY,California,Healdsburg Unified,600044,1,–,309,–,33,3,1,†
HEALDSBURG HIGH,California,Healdsburg Unified,600044,4,10,335,6,227,1,6,†
HEALDSBURG JUNIOR HIGH,California,Healdsburg Unified,600044,1,2,231,1,128,–,1,†
HEALTH CAREERS ACADEMY,California,Stockton Unified,638010,13,80,322,29,32,11,4,†
HEALTH SCIENCES HIGH,California,San Diego Unified,634320,2,22,393,113,50,2,12,†
HEALTH SCIENCES MIDDLE,California,San Diego Unified,634320,–,8,99,12,4,–,6,†
HEARST ELEMENTARY,California,San Diego Unified,634320,3,58,121,13,257,–,43,†
HEARTHSTONE SCHOOL,California,Butte County Office of Education,691002,16,4,75,3,146,–,37,†
HEARTLAND HIGH (CONTINUATION),California,Selma Unified,636270,1,1,61,2,2,–,–,†
HEATHER ELEMENTARY,California,San Carlos Elementary,634290,1,75,72,9,212,2,63,†
HEATON ELEMENTARY,California,Fresno Unified,614550,3,25,496,52,54,1,14,†
HEBER ELEMENTARY,California,Heber Elementary,616830,–,–,1234,–,9,–,2,†
HECTOR G. GODINEZ,California,Santa Ana Unified,635310,5,31,2520,4,15,–,1,†
HEDENKAMP (ANNE AND WILLIAM) ELEMENTARY,California,Chula Vista Elementary,608610,2,317,542,30,122,7,54,†
HEIGHTS ELEMENTARY,California,Pittsburg Unified,630600,1,31,484,59,45,15,22,†
HEINZ KAISER ELEMENTARY,California,Newport-Mesa Unified,627240,–,21,197,10,404,–,46,†
HELEN BERNSTEIN HIGH,California,Los Angeles Unified,622710,2,38,498,22,23,1,2,†
HELEN CARR CASTELLO ELEMENTARY,California,Elk Grove Unified,612330,4,311,216,80,218,6,120,†
HELEN ESTOCK ELEMENTARY,California,Tustin Unified,640150,–,8,603,4,14,6,4,†
HELEN HUNT JACKSON COLLEGE PREP HIGH,California,Hemet Unified,616920,3,2,174,27,112,2,18,†
HELEN HUNT JACKSON ELEMENTARY,California,Temecula Valley Unified,600028,4,42,110,18,187,–,56,†
HELEN KELLER ELEMENTARY,California,Lynwood Unified,623160,–,1,610,37,13,4,1,†
HELEN KELLER MIDDLE,CALIFORNIA,Long Beach Unified,622500,3,4,168,6,30,2,13,†
HELEN L. DOLLAHAN ELEMENTARY,California,Rialto Unified,632370,4,7,584,72,19,5,6,†
HELEN M. LEHMAN ELEMENTARY,California,Santa Rosa Elementary,635810,8,31,422,21,35,3,19,†
HELEN M. WILCOX ELEMENTARY,California,Palermo Union Elementary,629540,29,19,175,4,258,–,47,†
HELEN STACEY MIDDLE,California,Westminster,642150,3,296,276,3,213,1,47,†
HELENDALE ELEMENTARY,California,Helendale Elementary,616860,4,15,201,28,259,6,16,†
HELIOTROPE AVENUE ELEMENTARY,California,Los Angeles Unified,622710,–,1,671,1,7,–,–,†
HELIX HIGH,California,Grossmont Union High,616230,4,172,1197,399,493,24,222,†
HELM ELEMENTARY,California,Golden Plains Unified,691134,–,1,94,–,–,–,–,†
HELMS MIDDLE,California,West Contra Costa Unified,632550,–,63,820,93,14,2,5,†
HEMET HIGH,California,Hemet Unified,616920,29,54,1124,139,925,7,71,†
HEMLOCK ELEMENTARY,California,Fontana Unified,613920,2,23,307,44,34,–,12,†
HEMLOCK ELEMENTARY,California,Vacaville Unified,640590,2,10,124,7,91,1,39,†
HEMMERLING ELEMENTARY,California,Banning Unified,603840,13,32,371,35,89,–,30,†
HENDERSON,California,Lodi Unified,622230,–,4,23,12,18,–,3,†
HENDERSON ELEMENTARY,California,Barstow Unified,604020,2,10,361,122,140,6,35,†
HENDRICK RANCH ELEMENTARY,California,Moreno Valley Unified,625800,–,8,502,110,42,3,25,†
HENRY,California,Long Beach Unified,622500,3,25,514,37,148,3,81,†
HENRY (PATRICK) ELEMENTARY,California,Anaheim Elementary,602610,–,10,599,7,10,–,10,†
HENRY DALTON ELEMENTARY,California,Azusa Unified,603600,1,4,254,1,9,–,8,†
HENRY DAVID THOREAU CONTINUATION,California,Los Angeles Unified,622710,–,3,36,8,14,–,2,†
HENRY EISSLER ELEMENTARY,California,Bakersfield City,603630,3,28,408,36,104,–,12,†
HENRY ELEMENTARY,California,Rialto Unified,632370,1,–,372,32,17,8,3,†
HENRY F. BISHOP ELEMENTARY,California,Coalinga-Huron Unified,609120,–,2,246,5,55,–,23,†
HENRY F. KAMMANN ELEMENTARY,California,Salinas City Elementary,633930,–,23,729,8,35,2,7,†
HENRY FORD ELEMENTARY,California,Redwood City Elementary,632130,–,13,204,8,110,9,18,†
HENRY HAIGHT ELEMENTARY,California,Alameda Unified,601770,3,167,101,41,62,5,61,†
HENRY HIGH,California,San Diego Unified,634320,10,356,777,142,896,9,200,†
HENRY J. KAISER HIGH,California,Fontana Unified,613920,2,51,1899,175,85,5,18,†
HENRY M. GUNN HIGH,California,Palo Alto Unified,629610,1,865,167,24,733,8,121,†
HENRY MILLER ELEMENTARY,California,Los Banos Unified,622740,3,12,815,20,58,8,14,†
HENRY P. MOHR ELEMENTARY,California,Pleasanton Unified,600020,2,426,34,5,104,–,21,†
HENRY T. GAGE MIDDLE,California,Los Angeles Unified,622710,–,3,1661,6,13,–,2,†
HERBERT C. GREEN MIDDLE,California,Mother Lode Union Elementary,625980,8,4,162,2,289,1,15,†
HERBERT H. CRUICKSHANK MIDDLE,California,Merced City Elementary,624600,1,68,287,29,168,3,24,†
HERBERT HOOVER ELEMENTARY,California,Desert Sands Unified,611110,–,1,422,8,15,–,10,†
HERBERT HOOVER ELEMENTARY,California,Palo Alto Unified,629610,–,263,29,8,36,5,51,†
HERBERT HOOVER HIGH,California,Fresno Unified,614550,18,225,1070,173,272,15,33,†
HERBERT HOOVER HIGH,California,Glendale Unified,615240,–,229,417,31,942,1,17,†
HERBERT HOOVER MIDDLE,California,Merced City Elementary,624600,1,14,391,34,97,1,19,†
HERBERT HOOVER MIDDLE,California,San Jose Unified,634590,7,47,833,27,113,4,32,†
HERBERT SLATER MIDDLE,California,Santa Rosa High,635830,7,30,365,18,264,3,52,†
HERCULES HIGH,California,West Contra Costa Unified,632550,1,432,209,262,68,5,19,†
HERCULES MIDDLE,California,West Contra Costa Unified,632550,1,266,133,125,31,3,25,†
HERITAGE,California,Snowline Joint Unified,636970,3,23,115,2,307,1,61,†
HERITAGE CCCOE SPECIAL EDUCATION PROGRAMS,California,Contra Costa County Office of Education,691005,1,13,25,12,24,–,2,†
HERITAGE COMMUNITY DAY,California,Thermalito Union Elementary,639180,0,0,1,0,9,0,0,†
HERITAGE DIGITAL ACADEMY CHARTER MIDDLE,California,Escondido Union,612880,–,37,155,3,80,–,15,†
HERITAGE ELEMENTARY,CALIFORNIA,Tustin Unified,640150,–,67,103,6,71,–,31,†
HERITAGE ELEMENTARY,California,Garden Grove Unified,614880,–,65,458,4,12,–,–,†
HERITAGE ELEMENTARY,California,Tulare City,639870,7,21,501,25,42,–,6,†
HERITAGE ELEMENTARY,California,Lodi Unified,622230,–,59,435,2,8,1,12,†
HERITAGE ELEMENTARY,California,Chula Vista Elementary,608610,–,185,438,53,100,5,48,†
HERITAGE HIGH,California,Liberty Union High,621600,8,413,538,224,1201,18,97,†
HERITAGE HIGH,California,Perris Union High,630210,11,94,1855,167,511,24,117,†
HERITAGE INTERMEDIATE,California,Etiwanda Elementary,612960,2,128,686,190,186,3,49,†
HERITAGE K-8 CHARTER,California,Escondido Union,612880,12,76,325,13,376,3,16,†
HERITAGE OAK ELEMENTARY,California,Dry Creek Joint Elementary,611490,3,25,107,10,311,–,49,†
HERITAGE PEAK CHARTER,California,Twin Rivers Unified,601332,12,52,303,98,619,4,67,†
HERITAGE VALLEY INDEPENDENT STUDY,California,Fillmore Unified,613800,2,0,20,0,3,0,0,†
HERK BOURIS ELEMENTARY,California,Menifee Union Elementary,624540,4,51,443,48,342,3,36,†
HERLONG HIGH,California,Fort Sage Unified,600011,6,–,6,2,38,–,–,†
HERMAN (LEONARD) INTERMEDIATE,California,Oak Grove Elementary,627810,3,197,338,43,237,3,22,†
HERMAN LEIMBACH ELEMENTARY,California,Elk Grove Unified,612330,3,97,245,172,44,19,38,†
HERMOSA DRIVE ELEMENTARY,California,Fullerton Elementary,614730,1,87,218,5,146,–,21,†
HERMOSA ELEMENTARY,California,Alta Loma Elementary,602160,8,67,216,46,230,3,5,†
HERMOSA VALLEY ELEMENTARY,California,Hermosa Beach City Elementary,617040,3,35,85,2,623,5,69,†
HERMOSA VIEW ELEMENTARY,California,Hermosa Beach City Elementary,617040,2,31,65,6,388,5,59,†
HERNDON-BARSTOW ELEMENTARY,California,Central Unified,607970,4,146,341,26,102,–,7,†
HEROES ELEMENTARY,California,Santa Ana Unified,635310,6,–,563,–,3,–,–,†
HERON,California,Natomas Unified,600036,4,217,240,123,278,15,128,†
HERRICK AVENUE ELEMENTARY,California,Los Angeles Unified,622710,–,8,532,1,18,–,2,†
HESBY OAKS LEADERSHIP CHARTER,California,Los Angeles Unified,622710,–,33,70,18,405,–,29,†
HESPERIA COMMUNITY DAY,California,Hesperia Unified,600014,0,0,11,2,3,0,2,†
HESPERIA HIGH,California,Hesperia Unified,600014,6,26,1430,93,215,2,179,†
HESPERIA JUNIOR HIGH,California,Hesperia Unified,600014,4,12,726,43,100,4,96,†
HESPERIAN ELEMENTARY,California,San Lorenzo Unified,634710,1,104,387,91,31,5,9,†
HEWES MIDDLE,California,Tustin Unified,640150,2,77,325,8,528,3,40,†
HICKMAN CHARTER,California,Hickman Community Charter,617160,3,28,90,11,433,8,8,†
HICKMAN ELEMENTARY,California,Hickman Community Charter,617160,1,3,97,2,177,1,18,†
HICKMAN ELEMENTARY,California,San Diego Unified,634320,5,208,83,9,63,–,52,†
HICKMAN MIDDLE,California,Hickman Community Charter,617160,–,1,81,2,102,–,5,†
HICKORY ELEMENTARY,California,Torrance Unified,639420,–,492,195,31,147,3,85,†
HICKS CANYON ELEMENTARY,California,Tustin Unified,640150,–,506,108,27,245,4,57,†
HIDDEN HILLS ELEMENTARY,California,Capistrano Unified,607440,2,6,249,3,71,1,15,†
HIDDEN HILLS ELEMENTARY,California,San Ramon Valley Unified,635130,–,703,26,21,81,1,71,†
HIDDEN SPRINGS ELEMENTARY,California,Moreno Valley Unified,625800,1,21,379,76,87,4,36,†
HIDDEN TRAILS ELEMENTARY,California,Chino Valley Unified,608460,–,215,165,25,79,4,8,†
HIDDEN VALLEY ELEMENTARY,California,Mt. Diablo Unified,626370,–,88,280,18,358,1,127,†
HIDDEN VALLEY ELEMENTARY,California,Ross Valley Elementary,600006,1,7,37,6,262,1,20,†
HIDDEN VALLEY ELEMENTARY,California,Santa Rosa Elementary,635810,3,101,174,14,294,3,54,†
HIDDEN VALLEY MIDDLE,California,Escondido Union,612880,3,28,879,14,74,2,22,†
HIGH DESERT,California,Acton-Agua Dulce Unified,600001,1,2,109,3,154,1,2,†
HIGH DESERT COMMUNITY DAY,California,Modoc Joint Unified,625190,0,0,0,0,1,0,1,†
HIGH DESERT JUVENILE DETENTION AND ASSESSMENT CENTER,California,San Bernardino County Office of Education,691029,0,0,0,0,0,0,0,†
HIGH DESERT PREMIER ACADEMY,California,Apple Valley Unified,600017,2,3,70,23,61,–,2,†
HIGH TECH ELEMENTARY,CALIFORNIA,San Diego Unified,634320,5,29,181,30,138,–,18,†
HIGH TECH ELEMENTARY CHULA VISTA,California,SBC - High Tech High,601322,2,57,287,11,34,2,13,†
HIGH TECH ELEMENTARY EXPLORER,California,San Diego Unified,634320,2,22,140,23,142,1,23,†
HIGH TECH ELEMENTARY NORTH COUNTY,California,SBC - High Tech High,601322,2,17,191,7,122,1,25,†
HIGH TECH HIGH,California,San Diego Unified,634320,4,36,249,41,202,3,43,†
HIGH TECH HIGH CHULA VISTA,California,SBC - High Tech High,601322,5,54,471,23,51,1,18,†
HIGH TECH HIGH INTERNATIONAL,California,San Diego Unified,634320,–,32,190,31,128,2,24,†
HIGH TECH HIGH MEDIA ARTS,California,San Diego Unified,634320,3,35,198,24,112,2,26,†
HIGH TECH HIGH NORTH COUNTY,California,SBC - High Tech High,601322,8,31,159,8,206,3,32,†
HIGH TECH LA,California,Los Angeles Unified,622710,3,27,141,3,162,1,61,†
HIGH TECH MIDDLE,California,San Diego Unified,634320,1,24,129,27,98,–,31,†
HIGH TECH MIDDLE CHULA VISTA,California,SBC - High Tech High,601322,5,31,213,13,33,1,14,†
HIGH TECH MIDDLE MEDIA ARTS,California,San Diego Unified,634320,2,28,141,24,100,2,15,†
HIGH TECH MIDDLE NORTH COUNTY,California,SBC - High Tech High,601322,3,14,151,8,144,1,13,†
HIGHER LEARNING ACADEMY,California,Twin Rivers Unified,601332,2,15,72,132,31,2,3,†
HIGHGROVE ELEMENTARY,California,Riverside Unified,633150,3,8,672,34,44,1,14,†
HIGHLAND,CALIFORNIA,Hayward Unified,616740,0,0,7,6,0,1,0,†
HIGHLAND ACADEMY,California,Beaumont Unified,604290,4,5,119,15,137,–,6,†
HIGHLAND ELEMENTARY,California,Visalia Unified,641160,1,5,478,2,5,–,43,†
HIGHLAND ELEMENTARY,California,Vallejo City Unified,640740,8,31,331,174,39,3,54,†
HIGHLAND ELEMENTARY,California,Monterey Peninsula Unified,625530,1,20,311,25,15,7,6,†
HIGHLAND ELEMENTARY,California,West Contra Costa Unified,632550,–,65,273,109,16,5,16,†
HIGHLAND ELEMENTARY,California,Riverside Unified,633150,10,44,456,102,144,1,21,†
HIGHLAND ELEMENTARY,California,Corona-Norco Unified,609850,4,14,201,18,311,2,5,†
HIGHLAND ELEMENTARY,California,Inglewood Unified,618390,8,7,342,277,11,1,11,†
HIGHLAND ELEMENTARY,California,Standard Elementary,637890,12,13,233,9,529,–,15,†
HIGHLAND GROVE ELEMENTARY,California,Redlands Unified,632070,1,54,272,17,134,5,26,†
HIGHLAND HIGH,California,Kern High,619540,24,66,1398,119,347,4,26,†
HIGHLAND HIGH,California,Antelope Valley Union High,602820,9,156,1735,470,405,3,108,†
HIGHLAND OAKS ELEMENTARY,California,Arcadia Unified,602970,1,450,63,14,144,–,28,†
HIGHLAND PACIFIC ELEMENTARY,California,San Bernardino City Unified,634170,4,15,199,54,37,2,35,†
HIGHLAND PARK CONTINUATION,California,Los Angeles Unified,622710,1,–,64,1,3,–,–,†
HIGHLAND RANCH ELEMENTARY,California,Poway Unified,631530,–,221,105,20,299,2,64,†
HIGHLANDS ACADEMY,California,Konocti Unified,620070,1,0,3,0,6,0,2,†
HIGHLANDS COMMUNITY CHARTER,CALIFORNIA,Twin Rivers Unified,601332,2,156,542,143,386,4,35,†
HIGHLANDS ELEMENTARY,California,Saugus Union,635970,2,22,164,7,174,–,11,†
HIGHLANDS ELEMENTARY,California,La Mesa-Spring Valley,620250,1,16,301,74,106,7,30,†
HIGHLANDS ELEMENTARY,California,San Mateo-Foster City,634920,–,124,158,9,221,–,73,†
HIGHLANDS ELEMENTARY,California,Mt. Diablo Unified,626370,–,77,131,9,279,2,99,†
HIGHLANDS ELEMENTARY,California,Pittsburg Unified,630600,1,38,331,94,38,7,24,†
HIGHLANDS HIGH,California,Twin Rivers Unified,601332,3,44,385,102,177,7,40,†
HILDA L. SOLIS LRNG ACAD SCH OF TECH BUSINESS AND ED,California,Los Angeles Unified,622710,1,1,283,–,7,–,1,†
HILL CREEK ELEMENTARY,California,Santee,635880,7,19,190,–,431,2,98,†
HILLCREST AT YOUTH SERVICES CENTER,California,San Mateo County Office of Education,691033,0,6,33,0,5,5,3,†
HILLCREST DRIVE ELEMENTARY,California,Los Angeles Unified,622710,3,1,310,304,20,–,10,†
HILLCREST ELEMENTARY,California,Garvey Elementary,614940,1,194,174,3,15,–,14,†
HILLCREST ELEMENTARY,California,Oakland Unified,628050,–,55,26,28,223,–,45,†
HILLCREST ELEMENTARY,California,San Francisco Unified,634410,1,166,189,52,9,–,31,†
HILLCREST HIGH,California,Alvord Unified,602430,5,174,1127,125,310,9,40,†
HILLCREST MIDDLE,California,Gravenstein Union Elementary,615840,–,13,38,1,174,–,20,†
HILLERY T. BROADOUS ELEMENTARY,California,Los Angeles Unified,622710,–,1,559,7,14,–,–,†
HILLIARD COMSTOCK MIDDLE,California,Santa Rosa High,635830,4,20,296,8,30,3,9,†
HILLSDALE ELEMENTARY,California,Twin Rivers Unified,601332,1,18,184,27,109,2,26,†
HILLSDALE HIGH,California,San Mateo Union High,634980,3,301,407,19,555,14,119,†
HILLSDALE MIDDLE,California,Cajon Valley Union,606810,6,51,383,62,859,5,140,†
HILLSIDE ELEMENTARY,California,San Bernardino City Unified,634170,2,5,547,75,74,2,40,†
HILLSIDE ELEMENTARY,California,San Lorenzo Unified,634710,3,31,295,108,12,10,20,†
HILLSIDE ELEMENTARY,California,Los Angeles Unified,622710,–,15,165,4,–,–,2,†
HILLSIDE ELEMENTARY,CALIFORNIA,South San Francisco Unified,637530,0,0,0,0,0,0,0,†
HILLSIDE HIGH,California,Upland Unified,600016,4,1,117,24,35,0,3,†
HILLSIDE JUNIOR/SENIOR HIGH,California,Mountain Empire Unified,626100,1,0,5,0,3,0,0,†
HILLSIDE MIDDLE,California,Simi Valley Unified,636840,2,71,360,11,479,2,31,†
HILLTOP DRIVE ELEMENTARY,California,Chula Vista Elementary,608610,–,9,474,8,58,–,14,†
HILLTOP MIDDLE,California,Sweetwater Union High,638640,2,23,846,13,62,2,29,†
HILLTOP SENIOR HIGH,California,Sweetwater Union High,638640,2,52,1843,19,137,5,85,†
HILLVIEW CREST ELEMENTARY,California,New Haven Unified,626910,8,82,369,34,26,12,24,†
HILLVIEW HIGH (CONTINUATION),California,Tustin Unified,640150,2,6,143,5,27,0,0,†
HILLVIEW JUNIOR HIGH,California,Pittsburg Unified,630600,5,91,559,211,58,17,37,†
HILLVIEW MIDDLE,California,Menlo Park City Elementary,624570,2,93,146,16,605,6,103,†
HILLVIEW MIDDLE,California,Westside Union Elementary,642120,2,68,402,110,289,3,39,†
HILLVIEW MIDDLE,California,East Whittier City Elementary,611850,2,16,595,7,54,2,5,†
HILMAR HIGH,California,Hilmar Unified,617220,5,6,275,2,373,2,3,†
HILMAR MIDDLE,California,Hilmar Unified,617220,3,6,248,3,305,–,4,†
HILTON D. BELL INTERMEDIATE,California,Garden Grove Unified,614880,3,175,154,9,306,1,11,†
HIRAM W. JOHNSON HIGH,California,Sacramento City Unified,633840,9,439,707,201,104,39,43,†
HOAGLIN-ZENIA ELEMENTARY,California,Southern Trinity Joint Unified,637630,0,0,0,0,8,0,1,†
HOBART BOULEVARD ELEMENTARY,California,Los Angeles Unified,622710,–,35,609,12,15,–,6,†
HOFFER ELEMENTARY,California,Banning Unified,603840,10,53,351,75,74,–,22,†
HOGAN MIDDLE,California,Vallejo City Unified,640740,3,229,297,257,73,25,46,†
HOLDER ELEMENTARY,California,Savanna Elementary,636030,–,92,298,32,75,7,34,†
HOLLAND ELEMENTARY,California,Fresno Unified,614550,5,58,343,37,43,3,14,†
HOLLENBECK MIDDLE,California,Los Angeles Unified,622710,–,3,1047,4,8,1,2,†
HOLLENCREST MIDDLE,California,West Covina Unified,642000,1,103,571,22,51,6,9,†
HOLLINGWORTH ELEMENTARY,California,Rowland Unified,633750,–,59,263,20,8,–,7,†
HOLLISTER DUAL LANGUAGE ACADEMY,California,Hollister,617340,1,3,566,1,42,–,5,†
HOLLISTER ELEMENTARY,California,Goleta Union Elementary,615510,–,26,236,1,140,–,27,†
HOLLISTER PREP,California,Hollister,617340,0,5,300,0,54,0,2,†
HOLLOW HILLS ELEMENTARY,California,Simi Valley Unified,636840,–,80,189,–,360,–,46,†
HOLLY AVENUE ELEMENTARY,California,Arcadia Unified,602970,–,490,123,9,89,1,15,†
HOLLY DRIVE LEADERSHIP ACADEMY,California,San Diego Unified,634320,–,–,36,72,2,–,14,†
HOLLY OAK ELEMENTARY,California,Evergreen Elementary,613140,6,302,210,16,18,5,25,†
HOLLYDALE,California,Paramount Unified,629850,4,6,1006,12,15,–,5,†
HOLLYVALE ELEMENTARY,California,Hesperia Unified,600014,2,4,246,26,59,1,63,†
HOLLYWOOD BEACH ELEMENTARY,California,Hueneme Elementary,617850,–,20,117,7,152,1,50,†
HOLLYWOOD PARK ELEMENTARY,California,Sacramento City Unified,633840,–,19,229,37,40,4,24,†
HOLLYWOOD PRIMARY CENTER,California,Los Angeles Unified,622710,–,4,133,–,9,–,1,†
HOLLYWOOD SENIOR HIGH,California,Los Angeles Unified,622710,3,98,1073,163,157,4,17,†
HOLMES AVENUE ELEMENTARY,California,Los Angeles Unified,622710,–,7,221,43,2,–,2,†
HOLMES ELEMENTARY,California,Long Beach Unified,622500,1,57,158,143,17,13,29,†
HOLMES ELEMENTARY,California,San Diego Unified,634320,3,27,116,4,331,2,81,†
HOLTVILLE HIGH,California,Holtville Unified,617430,–,2,469,1,63,–,10,†
HOLTVILLE JUNIOR HIGH,California,Holtville Unified,617430,–,–,267,–,13,–,2,†
HOMAN ELEMENTARY,California,Fresno Unified,614550,5,79,399,59,54,1,11,†
HOME & HOSP/TRANSITION SUPPORT,California,San Diego Unified,634320,–,7,32,7,17,–,6,†
HOME AND HOSPITAL PROGRAM,California,Oakland Unified,628050,0,2,4,1,0,0,0,†
HOME GARDENS ACADEMY,California,Corona-Norco Unified,609850,6,14,870,10,30,–,12,†
HOME STREET MIDDLE,California,Bishop Unified,601409,87,7,162,4,174,–,23,†
HOMESTEAD (ALTERNATIVE),California,Ventura Unified,640980,0,0,13,1,22,0,2,†
HOMESTEAD HIGH,California,Fremont Union High,614430,4,1035,402,28,718,5,199,†
HOMETECH CHARTER,California,Paradise Unified,629820,4,1,26,0,103,0,5,†
HONCUT,California,Palermo Union Elementary,629540,1,–,7,–,6,–,1,†
HONEY HOLLOW ELEMENTARY,California,Moreno Valley Unified,625800,1,11,409,133,32,3,26,†
HONEY RUN ACADEMY ELEMENTARY,California,Paradise Unified,629820,0,0,0,0,0,0,0,†
HONEY RUN ACADEMY SECONDARY,California,Paradise Unified,629820,–,–,1,–,6,1,1,†
HONEYDEW ELEMENTARY,California,Mattole Unified,600038,0,0,0,0,7,0,0,†
HOOKER OAK ELEMENTARY,California,Chico Unified,608370,2,8,53,2,225,1,27,†
HOOPA VALLEY ELEMENTARY,California,Klamath-Trinity Joint Unified,619950,386,2,14,–,8,1,9,†
HOOPA VALLEY HIGH,California,Klamath-Trinity Joint Unified,619950,216,–,5,2,21,–,6,†
HOOPER AVENUE ELEMENTARY,California,Los Angeles Unified,622710,–,1,888,50,7,–,2,†
HOOPER AVENUE PRIMARY CENTER,California,Los Angeles Unified,622710,–,1,247,21,3,–,1,†
HOOVER (HERBERT) MIDDLE,California,San Francisco Unified,634410,2,558,269,23,77,4,45,†
HOOVER ELEMENTARY,California,Redwood City Elementary,632130,–,11,650,10,14,4,5,†
HOOVER ELEMENTARY,California,Oakland Unified,628050,1,12,118,114,21,–,16,†
HOOVER ELEMENTARY,California,Stockton Unified,638010,5,77,325,100,64,6,59,†
HOOVER ELEMENTARY,California,Santa Ana Unified,635310,2,6,391,–,5,–,1,†
HOOVER ELEMENTARY,CALIFORNIA,Burlingame Elementary,606480,1,26,9,4,101,0,14,†
HOOVER HIGH,California,San Diego Unified,634320,6,270,1560,214,21,10,54,†
HOOVER MIDDLE,California,Long Beach Unified,622500,–,156,384,186,49,20,33,†
HOOVER STREET ELEMENTARY,California,Los Angeles Unified,622710,–,10,742,8,19,2,3,†
HOPE,California,Anaheim Union High,602630,1,34,118,9,55,5,4,†
HOPE ACADEMY,CALIFORNIA,Santa Rosa Elementary,635810,0,0,12,0,0,0,1,†
HOPE ELEMENTARY,California,Carlsbad Unified,607500,1,34,123,9,389,2,55,†
HOPE ELEMENTARY,California,Hope Elementary,617490,–,19,121,6,173,1,8,†
HOPE ELEMENTARY,California,Hope Elementary,617520,–,2,143,–,107,–,3,†
HOPE STREET ELEMENTARY,California,Los Angeles Unified,622710,–,1,554,–,12,–,–,†
HOPE VIEW ELEMENTARY,California,Ocean View,628140,–,65,111,3,373,1,47,†
HORACE CURETON ELEMENTARY,California,Alum Rock Union Elementary,602310,4,52,424,2,5,2,11,†
HORACE ENSIGN INTERMEDIATE,California,Newport-Mesa Unified,627240,2,50,411,10,687,1,21,†
HORACE MANN,California,Burbank Unified,606450,†,†,†,†,†,†,†,†
HORACE MANN ELEMENTARY,California,San Jose Unified,634590,2,18,366,6,22,3,26,†
HORACE MANN ELEMENTARY,California,Oakland Unified,628050,2,32,171,109,14,25,24,†
HORACE MANN ELEMENTARY,California,Beverly Hills Unified,604830,3,82,60,23,329,1,35,†
HORACE MANN ELEMENTARY,California,Glendale Unified,615240,–,46,285,7,306,2,4,†
HORACE MANN ELEMENTARY,California,Bakersfield City,603630,7,5,786,33,40,–,9,†
HORACE MANN JUNIOR HIGH,California,Los Angeles Unified,622710,1,1,148,162,3,–,–,†
HORICON ELEMENTARY,California,Horicon Elementary,617580,5,–,35,–,16,–,3,†
HORIZON,California,Desert Sands Unified,611110,–,4,180,2,48,–,7,†
HORIZON CHARTER,California,Western Placer Unified,642140,3,36,204,37,894,8,176,†
HORIZON ELEMENTARY,California,Greenfield Union,616050,–,40,650,42,40,–,6,†
HORIZON ELEMENTARY,CALIFORNIA,McFarland Unified,624230,–,13,497,–,4,–,–,†
HORIZON HIGH,California,Riverdale Joint Unified,600040,1,0,16,2,2,0,0,†
HORIZONS SCHOOL: INDEPENDENT STUDY,California,Mt. Diablo Unified,626370,0,25,37,5,77,1,13,†
HORNBROOK ELEMENTARY,California,Hornbrook Elementary,617620,2,–,4,–,35,–,17,†
HORT ELEMENTARY,California,Bakersfield City,603630,2,4,573,22,67,2,15,†
HORTON ELEMENTARY,California,San Diego Unified,634320,1,35,397,21,1,6,13,†
HOSLER MIDDLE,California,Lynwood Unified,623160,–,2,585,27,3,1,–,†
HOT SPRINGS ELEMENTARY,California,Hot Springs Elementary,617640,0,0,4,0,11,0,3,†
HOUGHTON-KEARNEY ELEMENTARY,California,Central Unified,607970,1,11,130,–,81,–,1,†
HOUSTON,California,Lodi Unified,622230,1,2,117,2,59,–,9,†
HOUSTON ELEMENTARY,California,Visalia Unified,641160,3,15,490,4,9,–,12,†
HOWARD CATTLE ELEMENTARY,California,Chino Valley Unified,608460,–,75,425,24,138,3,9,†
HOWARD ELEMENTARY,California,Ontario-Montclair,628470,2,35,529,14,12,–,7,†
