School Name,School Name [Public School] 201617,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,FullTime Equivalent (FTE) Teachers,Pupil/Teacher Ratio ,Total Students All Grades (Includes AE)
ALLENDALE ELEMENTARY,Allendale Elementary,Oakland Unified,628050,6001,3,69,167,101,16,3,12,17,21.82,371
ALLENSWORTH ELEMENTARY,Allensworth Elementary,Allensworth Elementary,601980,6107,,,77,1,,,,3.84,20.31,78
ALLESANDRO ELEMENTARY,Allesandro Elementary,Los Angeles Unified,622710,6037,,31,361,9,20,,2,19,22.26,423
ALLIANCE ACADEMY,Alliance Academy,Oakland Unified,628050,6001,3,9,223,74,1,10,8,20.3,16.16,328
ALLIANCE ALICE M. BAXTER COLLEGEREADY HIGH,Alliance Alice M. Baxter CollegeReady High,Los Angeles Unified,622710,6037,3,15,223,22,14,2,0,15,18.6,279
ALLIANCE CINDY AND BILL SIMON TECHNOLOGY ACADEMY HIGH,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,622710,6037,1,1,463,38,,,,28.1,17.9,503
ALLIANCE COLLEGEREADY MIDDLE ACADEMY 12,Alliance CollegeReady Middle Academy 12,Los Angeles Unified,622710,6037,,2,406,8,1,,,16,26.06,417
ALLIANCE COLLEGEREADY MIDDLE ACADEMY 4,Alliance CollegeReady Middle Academy 4,Los Angeles Unified,622710,6037,,1,438,11,1,1,,19.74,22.9,452
ALLIANCE COLLEGEREADY MIDDLE ACADEMY 5,Alliance CollegeReady Middle Academy 5,Los Angeles Unified,622710,6037,3,9,284,3,4,,,17,17.82,303
ALLIANCE COLLEGEREADY MIDDLE ACADEMY 8,Alliance CollegeReady Middle Academy 8,Los Angeles Unified,622710,6037,,,443,,1,,1,19.7,22.59,445
ALLIANCE COLLINS FAMILY COLLEGEREADY HIGH,Alliance Collins Family CollegeReady High,Los Angeles Unified,622710,6037,,2,598,1,,,,31.7,18.96,601
ALLIANCE DR. OLGA MOHAN HIGH,Alliance Dr. Olga Mohan High,Los Angeles Unified,622710,6037,,3,432,2,2,,,24.67,17.79,439
ALLIANCE GERTZRESSLER RICHARD MERKIN 612 COMPLEX,Alliance GertzRessler Richard Merkin 612 Complex,Los Angeles Unified,622710,6037,1,1,972,11,1,,,45.75,21.55,986
ALLIANCE JACK H. SKIRBALL MIDDLE,Alliance Jack H. Skirball Middle,Los Angeles Unified,622710,6037,,1,395,48,,,,18.95,23.43,444
ALLIANCE JUDY IVIE BURTON TECHNOLOGY ACADEMY HIGH,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,622710,6037,,1,588,18,1,,1,28,21.75,609
ALLIANCE KORY HUNTER MIDDLE,Alliance Kory Hunter Middle,Los Angeles Unified,622710,6037,,1,460,1,1,,,20.53,22.55,463
ALLIANCE LEADERSHIP MIDDLE ACADEMY,Alliance Leadership Middle Academy,Los Angeles Unified,622710,6037,,1,272,93,,,2,20.17,18.24,368
ALLIANCE LEICHTMANLEVINE FAMILY FOUNDATION ENV SCI HIGH,Alliance LeichtmanLevine Family Foundation Env Sci High,Los Angeles Unified,622710,6037,3,34,466,3,17,,,28.2,18.55,523
ALLIANCE MARC & EVA STERN MATH AND SCIENCE,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,622710,6037,4,12,551,8,9,,,31.25,18.69,584
ALLIANCE MARGARET M. BLOOMFIELD TECHNOLOGY ACADEMY HIGH,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,622710,6037,0,0,382,2,0,0,0,19,20.21,384
ALLIANCE MARINE  INNOVATION AND TECHNOLOGY 612 COMPLEX,Alliance 612 CollegeReady Academy 21,Los Angeles Unified,622710,6037,4,16,237,11,38,1,4,14.9,20.87,311
ALLIANCE MORGAN MCKINZIE HIGH,Alliance Morgan McKinzie High,Los Angeles Unified,622710,6037,1,,325,1,,,,18,18.17,327
ALLIANCE OUCHIO'DONOVAN 612 COMPLEX,Alliance OuchiO'Donovan 612 Complex,Los Angeles Unified,622710,6037,1,1,943,64,1,,,45.5,22.2,1010
ALLIANCE PATTI AND PETER NEUWIRTH LEADERSHIP ACADEMY,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,622710,6037,1,,573,24,2,,,31.35,19.14,600
ALLIANCE PIERA BARBAGLIA SHAHEEN HEALTH SERVICES ACADEMY,Alliance Piera Barabaglia Shaheen Health Services Academy,Los Angeles Unified,622710,6037,,1,392,59,5,2,3,25,18.48,462
ALLIANCE RENEE AND MEYER LUSKIN ACADEMY HIGH,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,622710,6037,,2,459,89,1,,,32.87,16.76,551
ALLIANCE SUSAN AND ERIC SMIDT TECHNOLOGY HIGH,Alliance Susan and Eric Smidt Technology High,Los Angeles Unified,622710,6037,4,9,474,16,1,,1,25.95,19.46,505
ALLIANCE TED K. TAJIMA HIGH,Alliance Ted K. Tajima High,Los Angeles Unified,622710,6037,,6,277,2,1,,,17.9,15.98,286
