School Name,School Name [Public School] 201617,Agency Name,Agency ID,County Number,American Indian/Alaska Native,Asian or Asian/Pacific Islander,Hispanic,Black,White,Hawaiian Nat./Pacific Isl.,Two or More Races,FullTime Equivalent (FTE) Teachers,Pupil/Teacher Ratio ,Total Students All Grades (Includes AE)
MARVIN ELEMENTARY,Marvin Elementary,Los Angeles Unified,622710,6037,1,1,742,82,25,3,11,36,24.03,865
MARVIN ELEMENTARY,Marvin Elementary,San Diego Unified,634320,6073,2,22,134,11,233,,58,19,24.21,460
MARVIN MARSHALL PRESCHOOL AND CHILDREN'S CENTER,Marvin Marshall Preschool and Children's Center,San Juan Unified,634620,6067,0,0,0,0,0,0,0,,,0
MARY ANN SANDERS ELEMENTARY,Mary Ann Sanders Elementary,Sylvan Union Elementary,638670,6099,1,61,215,24,213,10,46,22.5,25.33,570
MARY B. LEWIS ELEMENTARY,Mary B. Lewis Elementary,Colton Joint Unified,609390,6071,,2,653,22,30,2,11,30,24,720
MARY B. PERRY HIGH,Mary B. Perry High,California Education Authority (CEA) Headquarters,601422,6111,,5,60,34,4,1,,33.55,3.1,104
MARY BUREN ELEMENTARY,Mary Buren Elementary,Guadalupe Union Elementary,616260,6083,2,7,826,5,15,,3,37,23.19,858
MARY CASEY BLACK ELEMENTARY,Mary Casey Black Elementary,Brentwood Union Elementary,605910,6013,1,72,280,45,176,6,48,26,24.15,628
MARY CHAPA ACADEMY,Mary Chapa Academy,Greenfield Union Elementary,616080,6053,,2,888,,5,,1,37.2,24.09,896
MARY COLLINS CHARTER SCHOOL AT CHERRY VALLEY,Mary Collins Charter School at Cherry Valley,Petaluma Joint Union High,630250,6097,6,4,65,7,283,,18,15.8,24.24,383
MARY DETERDING ELEMENTARY,Mary Deterding Elementary,San Juan Unified,634620,6067,3,69,98,31,358,3,44,21,28.86,606
MARY E. SILVEIRA ELEMENTARY,Mary E. Silveira Elementary,Dixie Elementary,611220,6041,,36,84,7,235,,60,20,21.1,422
MARY FARMAR ELEMENTARY,Mary Farmar Elementary,Benicia Unified,604620,6095,6,52,98,33,232,,52,19,24.89,473
MARY FAY PENDLETON ELEMENTARY,Mary Fay Pendleton Elementary,Fallbrook Union Elementary,613500,6073,3,16,201,82,331,2,64,29.51,23.69,699
MARY LOU DIETERICH ELEMENTARY,Mary Lou Dieterich Elementary,Stanislaus Union Elementary,637950,6099,2,81,241,30,130,5,83,22,26,572
MARY MCLEOD BETHUNE ELEMENTARY,Mary McLeod Bethune Elementary,Val Verde Unified,691135,6065,3,21,413,147,27,7,20,26,24.54,638
MARY MCLEOD BETHUNE MIDDLE,Mary McLeod Bethune Middle,Los Angeles Unified,622710,6037,0,2,970,153,5,0,2,46.01,24.6,1132
MARY P. HENCK INTERMEDIATE,Mary P. Henck Intermediate,Rim of the World Unified,632610,6071,1,5,311,13,424,2,32,32.05,24.59,788
MARY PEACOCK ELEMENTARY,Mary Peacock Elementary,Del Norte County Unified,610770,6015,35,15,68,,194,,17,14.4,22.85,329
MARY TSUKAMOTO ELEMENTARY,Mary Tsukamoto Elementary,Elk Grove Unified,612330,6067,23,313,279,135,120,17,72,37,25.92,959
MARYLAND AVENUE ELEMENTARY,Maryland Avenue Elementary,La MesaSpring Valley,620250,6073,3,22,184,24,187,2,47,19,24.68,469
MARYLAND ELEMENTARY,Maryland Elementary,Vista Unified,641190,6073,1,2,543,10,14,1,9,22.5,25.78,580
MARYLIN AVENUE ELEMENTARY,Marylin Avenue Elementary,Livermore Valley Joint Unified,622110,6001,1,26,307,6,55,1,14,20.4,20.1,410
MARYSVILLE CHARTER ACADEMY FOR THE ARTS,Marysville Charter Academy for the Arts,Marysville Joint Unified,624090,6115,7,15,141,8,178,,32,18.7,20.37,381
MARYSVILLE COMMUNITY DAY,Marysville Community Day,Marysville Joint Unified,624090,6115,4,0,31,5,29,1,0,5.5,12.73,70
MARYSVILLE HIGH,Marysville High,Marysville Joint Unified,624090,6115,45,76,272,37,460,7,19,41.2,22.23,916
MASON ELEMENTARY,Mason Elementary,San Diego Unified,634320,6073,5,201,174,33,86,5,66,24,23.75,570
MASUDA (KAZUO) MIDDLE,Masuda (Kazuo) Middle,Fountain Valley Elementary,614220,6059,4,429,150,9,193,3,44,31.51,26.4,832
MATH AND SCIENCE COLLEGE PREPARATORY,Math and Science College Preparatory,Los Angeles Unified,622710,6037,2,16,444,63,,1,2,28.3,18.66,528
MATH SCIENCE & TECHNOLOGY MAGNET ACADEMY AT ROOSEVELT HIGH,Math Science & Technology Magnet Academy at Roosevelt High,Los Angeles Unified,622710,6037,1,2,500,2,1,,1,24,21.13,507
MATHER HEIGHTS ELEMENTARY,Mather Heights Elementary,FolsomCordova Unified,613890,6067,2,73,88,18,217,2,55,18,25.28,455
MATHEW J BRLETIC ELEMENTARY,Mathew J Brletic Elementary,Parlier Unified,629910,6019,2,3,497,,9,,,18,28.39,511
MATILIJA JUNIOR HIGH,Matilija Junior High,Ojai Unified,628270,6111,3,9,158,3,257,2,13,19.05,23.36,445
MATSUYAMA ELEMENTARY,Matsuyama Elementary,Sacramento City Unified,633840,6067,2,168,181,91,99,7,86,25.9,24.48,634
MATT GARCIA CAREER AND COLLEGE ACADEMY,Matt Garcia Career and College Academy,FairfieldSuisun Unified,613360,6095,,2,70,30,28,2,10,6,23.67,142
MATTHEW GAGE MIDDLE,Matthew Gage Middle,Riverside Unified,633150,6065,4,15,574,46,226,2,27,39.25,22.78,894
MATTHEW TURNER ELEMENTARY,Matthew Turner Elementary,Benicia Unified,604620,6095,3,70,92,25,235,1,71,20,24.85,497
MATTIE LOU MAXWELL,Mattie Lou Maxwell,Magnolia Elementary,623430,6059,4,83,596,32,88,4,8,31,26.29,815
MATTIE WASHBURN ELEMENTARY,Mattie Washburn Elementary,Windsor Unified,600034,6097,4,5,220,2,215,1,28,21,22.62,475
MATTOLE ELEMENTARY,Mattole Elementary,Mattole Unified,600038,6023,,1,2,,31,,5,3,13,39
MATTOLE TRIPLE JUNCTION HIGH,Mattole Triple Junction High,Mattole Unified,600038,6023,,,,,11,,,3,3.67,11
MATTOLE VALLEY CHARTER (#159),Mattole Valley Charter (#159),Mattole Unified,600038,6023,24,1,97,6,477,1,74,39.36,17.28,680
MAUDE B. DAVIS ELEMENTARY,Maude B. Davis Elementary,NewportMesa Unified,627240,6059,,51,135,11,305,1,69,21,27.24,572
MAURICE SENDAK ELEMENTARY,Maurice Sendak Elementary,Los Angeles Unified,622710,6037,1,13,468,12,23,3,6,24,21.92,526
MAXINE HONG KINGSTON ELEMENTARY,Maxine Hong Kingston Elementary,Stockton Unified,638010,6077,11,98,534,106,31,9,48,27.2,30.77,837
MAXSON ELEMENTARY,Maxson Elementary,Mountain View Elementary,626190,6037,,30,529,,,,2,22.4,25.04,561
MAXWELL ACADEMY (PK8),Maxwell Elementary,Duarte Unified,611520,6037,,13,332,17,1,,5,14,26.29,368
MAXWELL ELEMENTARY,Maxwell Elementary,Maxwell Unified,624150,6011,7,2,80,,61,1,11,7.28,22.25,162
MAXWELL MIDDLE,Maxwell Middle,Maxwell Unified,624150,6011,1,,33,,29,1,,2.98,21.48,64
MAXWELL SR HIGH,Maxwell Sr High,Maxwell Unified,624150,6011,5,1,53,,38,,3,9.6,10.42,100
MAY RANCH ELEMENTARY,May Ranch Elementary,Val Verde Unified,691135,6065,5,37,669,95,64,,20,33,26.97,890
MAYA LIN,Maya Lin,Alameda Unified,601770,6001,0,61,52,30,146,1,38,15,21.87,328
MAYALL STREET ELEMENTARY,Mayall Street Elementary,Los Angeles Unified,622710,6037,1,56,291,27,100,,15,23,21.3,490
MAYBERRY STREET ELEMENTARY,Mayberry Street Elementary,Los Angeles Unified,622710,6037,,26,226,14,17,,6,15,19.27,289
MAYFAIR ELEMENTARY,Mayfair Elementary,Fresno Unified,614550,6019,2,98,558,45,23,,10,31,23.74,736
MAYFAIR HIGH,Mayfair High,Bellflower Unified,604440,6037,9,329,1580,437,469,26,112,131.38,22.55,2962
MAYFLOWER ELEMENTARY,Mayflower Elementary,Monrovia Unified,625320,6037,,39,288,22,168,,22,22.5,23.96,539
MAYO ELEMENTARY,Mayo Elementary,Compton Unified,609620,6037,,,578,57,1,,12,24,27,648
MAYWOOD ACADEMY HIGH,Maywood Academy High,Los Angeles Unified,622710,6037,1,3,1341,1,7,1,,52.5,25.79,1354
MAYWOOD ELEMENTARY,Maywood Elementary,Los Angeles Unified,622710,6037,1,1,478,5,11,,2,22,22.64,498
MAYWOOD MIDDLE,Maywood Middle School,Corning Union Elementary,609780,6103,4,3,264,4,154,1,1,19.03,22.65,431
MAZE MIDDLE,Maze Middle,Hollister,617340,6069,1,21,558,2,78,2,4,33.84,19.68,666
MCCABE ELEMENTARY,McCabe Elementary,McCabe Union Elementary,624180,6025,,47,1174,4,159,1,4,56,24.8,1389
MCCABE ELEMENTARY,McCabe Elementary,Mendota Unified,600022,6019,,,808,,7,,10,32,25.78,825
MCCARDLE ELEMENTARY,McCardle Elementary,Fresno Unified,614550,6019,6,23,296,33,92,1,11,20,23.1,462
MCCLELLAN HIGH (CONTINUATION),McClellan High (Continuation),Center Joint Unified,607900,6067,1,4,27,9,39,0,0,4.85,16.49,80
MCCLOUD ELEMENTARY,McCloud Elementary,McCloud Union Elementary,624210,6093,3,,11,,43,,9,4.13,15.98,66
MCCLOUD HIGH,McCloud High,Siskiyou Union High,636940,6093,0,0,1,0,5,0,3,2.87,3.14,9
MCCLYMONDS HIGH,McClymonds High,Oakland Unified,628050,6001,1,21,22,295,16,2,15,22.7,16.39,372
MCCOPPIN (FRANK) ELEMENTARY,McCoppin (Frank) Elementary,San Francisco Unified,634410,6075,1,119,30,10,29,1,23,10,21.3,213
MCCORD ELEMENTARY,McCord Elementary,Kings Canyon Joint Unified,619700,6019,1,3,444,,9,,1,17,26.94,458
MCDOWELL ELEMENTARY,McDowell Elementary,Petaluma City Elementary,630230,6097,1,4,202,4,16,2,1,12,19.17,230
MCFADDEN INTERMEDIATE,McFadden Intermediate,Santa Ana Unified,635310,6059,1,45,1192,9,16,3,4,55,23.09,1270
MCFARLAND HIGH,McFarland High,McFarland Unified,624230,6029,1,8,882,7,9,,,42.23,21.48,907
MCFARLAND INDEPENDENT,McFarland Independent,McFarland Unified,624230,6029,,,12,,,,,0.6,20,12
MCFARLAND MIDDLE,McFarland Middle,McFarland Unified,624230,6029,,4,781,4,7,,,33.16,24,796
MCGILL SCHOOL OF SUCCESS,McGill School of Success,San Diego Unified,634320,6073,,2,111,13,16,,31,8,21.63,173
MCKEE MIDDLE,McKee Middle,Greenfield Union,616050,6029,2,26,828,51,93,1,6,50.05,20.12,1007
MCKEVETT ELEMENTARY,McKevett Elementary,Santa Paula Unified,601421,6111,1,,352,1,15,,4,17,21.94,373
MCKINLEY,McKinley,Pasadena Unified,629940,6037,3,131,557,178,127,,26,36.56,27.95,1022
MCKINLEY AVENUE ELEMENTARY,McKinley Avenue Elementary,Los Angeles Unified,622710,6037,2,,693,133,5,,2,36,23.19,835
MCKINLEY ELEMENTARY,McKinley Elementary,San Gabriel Unified,634425,6037,,433,126,1,7,1,18,24.86,23.57,586
MCKINLEY ELEMENTARY,McKinley Elementary,Santa MonicaMalibu Unified,635700,6037,,48,196,46,217,,30,24,22.38,537
MCKINLEY ELEMENTARY,McKinley Elementary,Compton Unified,609620,6037,1,2,256,147,6,2,10,17,24.94,424
MCKINLEY ELEMENTARY,McKinley Elementary,Long Beach Unified,622500,6037,1,34,497,91,18,14,9,29,22.9,664
MCKINLEY ELEMENTARY,McKinley Elementary,Bakersfield City,603630,6029,1,10,501,172,35,1,25,37.03,20.12,745
MCKINLEY ELEMENTARY,McKinley Elementary,Susanville Elementary,638550,6035,21,9,100,7,245,20,23,20.54,20.69,425
MCKINLEY ELEMENTARY,McKinley Elementary,Gridley Unified,600051,6007,1,9,193,2,116,,6,14,23.36,327
MCKINLEY ELEMENTARY,McKinley Elementary,Central Unified,607970,6019,3,114,538,85,59,6,32,29,28.86,837
MCKINLEY ELEMENTARY,McKinley Elementary,El Centro Elementary,612030,6025,,3,413,4,10,,,16,26.88,430
MCKINLEY ELEMENTARY,McKinley Elementary,San Diego Unified,634320,6073,3,7,267,18,249,3,34,23,25.26,581
MCKINLEY ELEMENTARY,McKinley Elementary,San Francisco Unified,634410,6075,,40,59,33,203,1,49,16,24.06,385
MCKINLEY ELEMENTARY,McKinley Elementary,Burlingame Elementary,606480,6081,1,70,137,3,268,6,43,24,22,528
MCKINLEY ELEMENTARY,McKinley Elementary,San Leandro Unified,634680,6001,1,73,272,63,32,8,19,17.5,26.74,468
MCKINLEY ELEMENTARY,McKinley Elementary,Redlands Unified,632070,6071,1,19,194,31,138,,33,17.5,23.77,416
MCKINLEY ELEMENTARY,McKinley Elementary,Petaluma City Elementary,630230,6097,1,17,141,3,75,2,3,10,24.2,242
MCKINLEY ELEMENTARY,McKinley Elementary,Tracy Joint Unified,600047,6077,1,55,241,47,66,12,20,20.7,21.35,442
MCKINLEY ELEMENTARY,McKinley Elementary,Stockton Unified,638010,6077,3,105,656,36,13,1,6,25.08,32.7,820
MCKINLEY ELEMENTARY,McKinley Elementary,FranklinMcKinley Elementary,614370,6085,,40,299,2,3,4,,16,21.75,348
MCKINLEY ELEMENTARY,McKinley Elementary,Santa Barbara Unified,601414,6083,1,,398,,6,,2,14,29.07,407
MCKINLEY INSTITUTE OF TECHNOLOGY,McKinley Institute of Technology,Redwood City Elementary,632130,6081,,5,359,6,17,2,1,22,17.73,390
MCKINLEYVILLE HIGH,McKinleyville High,Northern Humboldt Union High,603030,6023,51,9,59,2,384,1,61,32.43,17.48,567
MCKINLEYVILLE MIDDLE,McKinleyville Middle,McKinleyville Union Elementary,624300,6023,31,4,51,5,233,2,40,19.67,18.61,366
MCKINNA ELEMENTARY,McKinna Elementary,Oxnard,629220,6111,,5,701,2,12,2,,30.01,24.06,722
MCKINNON,McKinnon,Santa Rita Union Elementary,635790,6053,1,21,468,4,33,1,5,25,21.32,533
MCKITTRICK ELEMENTARY,McKittrick Elementary,McKittrick Elementary,624330,6029,1,,13,,61,,2,5,15.4,77
MCLANE HIGH,McLane High,Fresno Unified,614550,6019,5,338,1241,126,63,8,13,77.2,23.24,1794
MCLAREN (JOHN) CHILDREN CENTERS,McLaren (John) Children Centers,San Francisco Unified,634410,6075,,,,,,,,,,
MCMANUS (JOHN A.) ELEMENTARY,McManus (John A.) Elementary,Chico Unified,608370,6007,12,49,150,7,171,3,22,19.27,21.48,414
MCMILLIN (CORKY) ELEMENTARY,McMillin (Corky) Elementary,Chula Vista Elementary,608610,6073,1,207,425,51,124,5,32,32,26.41,845
MCNAIR CAMP,McNair Camp,Los Angeles County Office of Education,691078,6037,0,0,14,8,2,0,0,4.92,4.88,24
MCNEAR ELEMENTARY,McNear Elementary,Petaluma City Elementary,630230,6097,2,5,91,5,291,,9,16,25.19,403
MCPHERSON ELEMENTARY,McPherson Elementary,Napa Valley Unified,626640,6055,,6,454,1,21,,5,19.4,25.1,487
MCPHERSON MAGNET,McPherson Magnet,Orange Unified,628650,6059,3,127,360,8,339,3,32,35.25,24.74,872
MCSWAIN ELEMENTARY,McSwain Elementary,McSwain Union Elementary,624360,6047,3,53,360,4,403,2,34,38.63,22.24,859
MCSWEENY ELEMENTARY,McSweeny Elementary,Hemet Unified,616920,6065,8,6,476,45,129,1,15,29,23.45,680
MEAD VALLEY ELEMENTARY,Mead Valley Elementary,Val Verde Unified,691135,6065,2,5,572,29,40,,12,25,26.4,660
MEADOW ELEMENTARY,Meadow Elementary,Waugh Elementary,641790,6097,1,31,104,10,239,1,51,18.5,23.62,437
MEADOW GREEN ELEMENTARY,Meadow Green Elementary,Lowell Joint,623010,6037,1,26,354,11,98,,10,18,27.78,500
MEADOW HEIGHTS ELEMENTARY,Meadow Heights Elementary,San MateoFoster City,634920,6081,1,40,116,3,112,15,29,14,22.57,316
MEADOW HOMES ELEMENTARY,Meadow Homes Elementary,Mt. Diablo Unified,626370,6013,,31,729,11,14,5,58,35.5,23.89,848
MEADOW LANE ELEMENTARY,Meadow Lane Elementary,Cascade Union Elementary,607680,6089,33,22,86,3,218,,13,19,19.74,375
MEADOW LANE ELEMENTARY,Meadow Lane Elementary,Lemoore Union Elementary,621360,6031,5,28,361,23,123,7,28,26.65,21.58,575
MEADOW PARK ELEMENTARY,Meadow Park Elementary,Irvine Unified,684500,6059,,216,104,20,264,3,72,25.2,26.94,679
MEADOW VIEW,Meadow View,Susanville Elementary,638550,6035,9,6,95,3,194,14,37,13,27.54,358
MEADOW VIEW ELEMENTARY,Meadow View Elementary,Bellevue Union,604380,6097,7,19,371,9,33,1,6,19.75,22.58,446
MEADOWBROOK COMMUNITY DAY,Meadowbrook Community Day,Yosemite Unified,600160,6039,0,0,1,0,3,0,0,1,4,4
MEADOWBROOK MIDDLE,Meadowbrook Middle,Poway Unified,631530,6073,3,334,313,39,582,3,83,53.5,25.36,1357
MEADOWLARK ELEMENTARY,Meadowlark Elementary,ActonAgua Dulce Unified,600001,6037,2,4,200,2,236,2,17,19,24.37,463
MEADOWS ARTS AND TECHNOLOGY ELEMENTARY,Meadows Arts and Technology Elementary,Ventura County Office of Education,691047,6111,1,38,50,,269,2,31,16.08,24.32,391
MEADOWS AVENUE ELEMENTARY,Meadows Avenue Elementary,Manhattan Beach Unified,600025,6037,,64,46,10,235,,75,17,25.29,430
MEADOWS ELEMENTARY,Meadows Elementary,Meadows Union Elementary,624390,6025,1,,413,5,65,2,2,21,23.24,488
MEADOWS ELEMENTARY,Meadows Elementary,Newhall,627180,6037,,57,216,8,311,,41,26,24.35,633
MEADOWS ELEMENTARY,Meadows Elementary,Millbrae Elementary,624900,6081,1,258,41,3,113,2,13,13.25,32.53,431
MEAIRS ELEMENTARY,Meairs Elementary,Westminster,642150,6059,2,252,314,9,15,3,9,25,24.16,604
MECCA ELEMENTARY,Mecca Elementary,Coachella Valley Unified,609070,6065,,,802,,2,,,36,22.33,804
MEDEA CREEK MIDDLE,Medea Creek Middle,Oak Park Unified,627850,6111,6,250,110,9,696,1,40,45.6,24.39,1112
MEGAN COPE ELEMENTARY,Megan Cope Elementary,San Jacinto Unified,634440,6065,37,34,600,94,116,1,24,33,27.45,906
MEINERS OAKS ELEMENTARY,Meiners Oaks Elementary,Ojai Unified,628270,6111,,6,133,1,122,,5,12,22.25,267
MELBOURNE (ELLA P.) ELEMENTARY,Melbourne (Ella P.) Elementary,ABC Unified,601620,6037,3,14,486,5,12,4,3,21,25.1,527
MELINDA HEIGHTS ELEMENTARY,Melinda Heights Elementary,Saddleback Valley Unified,633860,6059,1,113,190,11,598,2,115,36,28.61,1030
MELROSE AVENUE ELEMENTARY,Melrose Avenue Elementary,Los Angeles Unified,622710,6037,0,77,129,21,92,1,14,16,20.88,334
MELROSE ELEMENTARY,Melrose Elementary,PlacentiaYorba Linda Unified,630660,6059,,3,623,7,7,1,,24,26.71,641
MELROSE LEADERSHIP ACADEMY,Melrose Leadership Academy,Oakland Unified,628050,6001,1,12,346,54,63,,29,25,20.2,505
MELVA DAVIS ACADEMY OF EXCELLENCE,Melva Davis Academy of Excellence,Adelanto Elementary,601710,6071,1,15,481,125,50,13,21,27.01,26.14,706
MELVILLE S. JACOBSON ELEMENTARY,Melville S. Jacobson Elementary,Tracy Joint Unified,600047,6077,1,124,317,41,116,8,24,28,22.54,631
MELVIN AVENUE ELEMENTARY,Melvin Avenue Elementary,Los Angeles Unified,622710,6037,,36,307,13,24,,12,16,24.5,392
MEMORIAL SCHOLARS & ATHLETES,Memorial Scholars & Athletes,San Diego Unified,634320,6073,,,335,19,3,,7,17.01,21.4,364
MENDENHALL WILLIAM CAMP,Mendenhall William Camp,Los Angeles County Office of Education,691078,6037,0,1,30,8,2,0,0,2.93,13.99,41
MENDOCINO ALTERNATIVE,Mendocino Alternative,Mendocino Unified,624480,6045,0,0,0,0,10,0,3,0.6,21.67,13
MENDOCINO COUNTY COMMUNITY,Mendocino County Community,Mendocino County Office of Education,691019,6045,7,0,24,1,14,0,1,3.4,13.82,47
MENDOCINO COUNTY ROP,Mendocino County ROP,Mendocino County ROC/ROP,600118,6045,0,0,0,0,0,0,0,,,0
MENDOCINO HIGH,Mendocino High,Mendocino Unified,624480,6045,3,4,11,1,155,3,3,14.14,12.73,180
MENDOCINO K8,Mendocino K8,Mendocino Unified,624480,6045,1,10,37,5,225,2,7,18.5,15.51,287
MENDOCINO SUNRISE HIGH,Mendocino Sunrise High,Mendocino Unified,624480,6045,2,0,2,0,10,0,0,0.8,17.5,14
MENDOTA COMMUNITY DAY,Mendota Community Day,Mendota Unified,600022,6019,0,0,5,0,0,0,0,1.02,4.9,5
MENDOTA CONTINUATION HIGH,Mendota Continuation High,Mendota Unified,600022,6019,0,0,18,0,0,0,0,1.98,9.09,18
MENDOTA ELEMENTARY,Mendota Elementary,Mendota Unified,600022,6019,,2,770,1,21,,3,34,23.44,797
MENDOTA HIGH,Mendota High,Mendota Unified,600022,6019,,,855,,6,,6,37.03,23.41,867
MENDOTA JUNIOR HIGH,Mendota Junior High,Mendota Unified,600022,6019,,,418,1,12,,4,22,19.77,435
MENIFEE PRESCHOOL,Menifee Preschool,Menifee Union Elementary,624540,6065,,,,,,,,,,
MENIFEE VALLEY MIDDLE,Menifee Valley Middle,Menifee Union Elementary,624540,6065,4,67,514,63,443,4,38,44.01,25.74,1133
MENLO AVENUE ELEMENTARY,Menlo Avenue Elementary,Los Angeles Unified,622710,6037,1,,467,73,1,,2,25,21.76,544
MENLOATHERTON HIGH,MenloAtherton High,Sequoia Union High,636390,6081,10,158,1011,105,936,107,74,123.8,19.39,2401
MENTONE ELEMENTARY,Mentone Elementary,Redlands Unified,632070,6071,6,7,325,12,136,3,21,20,25.5,510
MERCED CITY SCHOOL DISTRICT COMMUNITY DAY,Merced City School District Community Day,Merced City Elementary,624600,6047,0,0,2,2,5,0,0,1,9,9
MERCED COUNTY JUVENILE COURT,Merced County Juvenile Court,Merced County Office of Education,691020,6047,0,0,42,2,3,1,0,4.47,10.74,48
MERCED COUNTY ROP,Merced County ROP,Merced County ROP,600119,6047,0,0,0,0,0,0,0,,,0
MERCED COUNTY SPECIAL EDUCATION,Merced County Special Education,Merced County Office of Education,691020,6047,,27,366,23,137,3,12,52,10.92,568
MERCED ELEMENTARY,Merced Elementary,West Covina Unified,642000,6037,,100,411,14,32,,7,21,26.86,564
MERCED HIGH,Merced High,Merced Union High,624660,6047,15,171,1024,136,337,3,11,66.6,25.48,1697
MERCED SCHOLARS CHARTER,Merced Scholars Charter,Merced County Office of Education,691020,6047,,1,68,7,23,1,5,5,21,105
MERCEY SPRINGS ELEMENTARY,Mercey Springs Elementary,Los Banos Unified,622740,6047,2,5,342,4,57,5,5,12,35,420
MERIDIAN ELEMENTARY,Meridian Elementary,Meridian Elementary,624690,6101,1,,46,,26,,5,4,19.5,78
MERIDIAN ELEMENTARY,Meridian Elementary,Cajon Valley Union,606810,6073,4,15,155,43,372,3,30,26.2,23.74,622
MERIT ACADEMY,MERIT Academy,Grossmont Union High,616230,6073,,,13,4,51,1,4,6.2,11.77,73
MERLE L. FULLER ELEMENTARY,Merle L. Fuller Elementary,Chowchilla Elementary,608520,6039,2,11,314,7,142,2,9,23,21.17,487
MERLINDA ELEMENTARY,Merlinda Elementary,West Covina Unified,642000,6037,1,82,477,19,19,1,1,25,24,600
MERQUIN ELEMENTARY,Merquin Elementary,Hilmar Unified,617220,6047,,,126,,18,,1,7.5,19.33,145
MERRILL F. WEST HIGH,Merrill F. West High,Tracy Joint Unified,600047,6077,9,375,1073,172,377,26,73,86.36,24.37,2105
MERRITT TRACE ELEMENTARY,Merritt Trace Elementary,San Jose Unified,634590,6085,,41,664,36,153,3,44,36.08,26.08,941
MERTON E. HILL ELEMENTARY,Merton E. Hill Elementary,Garden Grove Unified,614880,6059,,228,106,,16,1,5,16.1,22.11,356
MERWIN ELEMENTARY,Merwin Elementary,CovinaValley Unified,610050,6037,,13,341,8,18,1,9,18,21.67,390
MESA ELEMENTARY,Mesa Elementary,CovinaValley Unified,610050,6037,3,98,428,20,96,2,19,29.2,22.81,666
MESA ELEMENTARY,Mesa Elementary,Mesa Union Elementary,624720,6111,2,46,389,6,136,4,28,24.82,24.62,611
MESA GRANDE ELEMENTARY,Mesa Grande Elementary,Hesperia Unified,600014,6071,,2,407,9,34,1,131,25,23.36,584
MESA LINDA MIDDLE,Mesa Linda Middle,Adelanto Elementary,601710,6071,3,23,573,269,97,2,58,31.51,32.53,1025
MESA MIDDLE,Mesa Middle,Lucia Mar Unified,623080,6079,2,11,315,7,196,2,6,24,22.46,539
MESA ROBLES,Mesa Robles,Hacienda la Puente Unified,616325,6037,1,521,449,7,82,1,11,43.4,24.7,1072
MESA VERDE ELEMENTARY,Mesa Verde Elementary,Riverbank Unified,600061,6099,3,4,313,1,129,6,23,19,25.21,479
MESA VERDE HIGH,Mesa Verde High,San Juan Unified,634620,6067,14,44,295,59,496,6,22,45.31,20.66,936
MESA VERDE MIDDLE,Mesa Verde Middle,Poway Unified,631530,6073,2,573,93,31,472,11,76,46.81,26.87,1258
MESA VERDE MIDDLE,Mesa Verde Middle,Moorpark Unified,625690,6111,,50,237,8,349,1,38,26.58,25.7,683
MESA VIEW ELEMENTARY,Mesa View Elementary,Romoland Elementary,633390,6065,5,55,374,64,359,18,15,35,25.43,890
MESA VIEW MIDDLE,Mesa View Middle,Ocean View,628140,6059,3,151,225,13,356,1,61,34,23.82,810
MESA VIEW MIDDLE,Mesa View Middle,YucaipaCalimesa Joint Unified,643560,6065,4,17,378,14,416,3,17,39,21.77,849
MESQUITE CONTINUATION HIGH,Mesquite Continuation High,Sierra Sands Unified,636800,6029,3,0,16,10,60,2,2,5.26,17.68,93
MESQUITE ELEMENTARY,Mesquite Elementary,Palmdale Elementary,629580,6037,6,13,695,126,62,,13,32.5,28.15,915
MESQUITE TRAILS ELEMENTARY,Mesquite Trails Elementary,Hesperia Unified,600014,6071,1,1,553,8,82,,285,35,26.57,930
METHOD SCHOOLS HIGH,Method Schools High,ActonAgua Dulce Unified,600001,6037,,2,5,2,3,,1,0.5,26,13
METHOD SCHOOLS K8,Method Schools K8,ActonAgua Dulce Unified,600001,6037,0,2,12,2,5,0,2,0.5,46,23
METHODSCHOOLS,MethodSchools,Dehesa Elementary,610710,6073,2,5,21,10,41,1,7,3,29,87
METRO CHARTER,Metro Charter,Los Angeles Unified,622710,6037,1,10,181,23,25,,16,11,23.27,256
METROPOLITAN CONTINUATION,Metropolitan Continuation,Los Angeles Unified,622710,6037,,1,108,6,1,,,6,19.33,116
METWEST HIGH,MetWest High,Oakland Unified,628050,6001,1,12,99,42,10,,7,11.5,14.87,171
MEYLER STREET ELEMENTARY,Meyler Street Elementary,Los Angeles Unified,622710,6037,,30,614,57,38,14,5,34,22.29,758
MICHAEL D'ARCY ELEMENTARY,Michael D'Arcy Elementary,Colton Joint Unified,609390,6071,2,15,390,61,16,3,5,22.5,21.87,492
MICHAEL G. WICKMAN ELEMENTARY,Michael G. Wickman Elementary,Chino Valley Unified,608460,6071,2,388,245,28,197,1,38,31.5,28.54,899
MICHAEL J. CASTORI ELEMENTARY,Michael J. Castori Elementary,Twin Rivers Unified,601332,6067,10,125,366,93,70,18,13,26,26.73,695
MICHELLE OBAMA ELEMENTARY,Michelle Obama Elementary,Los Angeles Unified,622710,6037,,46,780,7,15,1,7,36,23.78,856
MICHELTORENA STREET ELEMENTARY,Micheltorena Street Elementary,Los Angeles Unified,622710,6037,1,20,227,10,112,2,19,18,21.72,391
MICKEY COX ELEMENTARY,Cox Elementary,Clovis Unified,609030,6019,15,49,250,22,274,3,21,23,27.57,634
