County Code,District Code,Subgroup ID,Test Id,Mean Scale Score,Total Tested At Entity Level,Total Tested with Scores,CAASPP Reported Enrollment,Students Tested,Students with Scores,Total Standard Exceeded,Total Standard Met,Total Standard Met and Above,Total Standard Nearly Met,Total Standard Not Met
1,61176,75,1,2576.2,376.0,376.0,62.0,59.0,59.0,11.0,22.0,33.0,15.0,11.0
1,61176,75,2,2588.8,376.0,376.0,62.0,59.0,59.0,15.0,15.0,30.0,14.0,15.0
1,61176,76,1,2613.657142857143,90824.0,90792.0,23060.0,22706.0,22698.0,13942.0,5796.0,19737.0,1832.0,1136.0
1,61176,78,1,2497.942857142857,21536.0,21512.0,5486.0,5384.0,5378.0,698.0,1615.0,2314.0,1383.0,1686.0
1,61176,77,1,2558.7285714285713,7232.0,7232.0,1836.0,1808.0,1808.0,540.0,726.0,1266.0,362.0,180.0
1,61176,77,2,2555.5285714285715,7272.0,7272.0,1836.0,1818.0,1818.0,538.0,584.0,1122.0,402.0,294.0
1,61192,144,1,2512.1142857142854,2456.0,2456.0,628.0,614.0,614.0,122.0,176.0,298.0,152.0,164.0
1,61192,144,2,2500.414285714286,2464.0,2464.0,628.0,616.0,616.0,108.0,140.0,248.0,164.0,204.0
1,61192,74,1,2462.928571428572,8200.0,8200.0,2122.0,2050.0,2050.0,138.0,434.0,572.0,554.0,924.0
1,61192,74,2,2439.8571428571427,8200.0,8176.0,2124.0,2050.0,2044.0,76.0,234.0,310.0,539.0,1200.0
1,61192,75,2,2479.3,273.0,273.0,54.0,52.0,52.0,6.0,4.0,10.0,10.0,32.0
